method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Greedy,0,-445255.6024209249,217.29384202468935,25.26371746874827,6.605085963211306,0.2,20
Greedy,1,-399982.1771143343,196.44290151707773,24.966040587733975,2.3446312938339244,0.3,20
Greedy,2,-419972.89630300726,205.02891646966054,25.01379691849929,5.671533563085115,0.3,20
Greedy,3,-466898.30883995007,228.64650519773346,25.333921331879928,4.788743636822419,0.2,20
Greedy,4,-430145.561854074,209.19958568337466,25.03603227656277,7.072886508518835,0.0,20
Greedy,5,-453288.8299712271,221.10041293244694,25.541686064535646,6.4590494131651015,0.25,20
Greedy,6,-314658.9889175136,154.09659840342871,25.308470889474442,1.4696119581297622,0.3,20
Greedy,7,-368334.8099738918,180.29670507514544,24.890681597541903,3.0684881333163814,0.3,20
Greedy,8,-380306.943075711,185.87962287842169,25.11705383620817,3.9977664501117474,0.25,20
Greedy,9,-424036.1470422632,207.42121409774353,25.264329961052432,4.438714017340826,0.3,20
Greedy,10,-396776.54282864416,194.47258177794168,24.95991424156386,3.457664561949623,0.4,20
Greedy,11,-347315.5399105235,170.3146351609509,24.859463158587698,3.0094885977188652,0.4,20
Greedy,12,-424376.7708586831,206.1699025005024,25.551793335450487,6.910427892863444,0.15,20
Greedy,13,-451008.02579893096,221.1634564065108,25.60940625118054,4.208134559830437,0.35,20
Greedy,14,-435029.23562324035,213.5682091607373,25.05909952073049,3.8002379400351005,0.3,20
Greedy,15,-482499.60435054975,235.38713659630383,25.951018968351974,7.19242648640882,0.25,20
Greedy,16,-378536.7972911814,186.3401841905151,24.920265306533953,1.1377573915733599,0.45,20
Greedy,17,-380097.2273923636,185.7284124091149,25.216521648168754,4.3781897992857015,0.3,20
Greedy,18,-378921.50056226074,184.7823620677984,24.913872974177657,4.5080133493982215,0.25,20
Greedy,19,-447101.0974802293,218.96260252419052,25.719519675376613,4.738355616406904,0.3,20
Greedy,20,-402108.21296925313,197.04715489984838,25.609156938714243,2.9091843655805647,0.3,20
Greedy,21,-447195.59102275036,216.91137206954153,25.523073782317333,8.52087751403051,0.2,20
Greedy,22,-410072.42351055075,200.8111095875651,25.11182129652304,4.062469515754057,0.3,20
Greedy,23,-384128.61285430106,187.96455019540176,25.28571822982621,3.1487592329326484,0.3,20
Greedy,24,-437680.9694025232,212.38942298630317,25.37819040280635,7.886104085802984,0.2,20
Greedy,25,-382301.37117903295,185.81802327499258,25.213374417447298,5.571696320308322,0.15,20
Greedy,26,-394079.6255234015,193.19552660141173,24.950095348604986,3.1322348225755485,0.35,20
Greedy,27,-411616.57985251653,201.69749589729278,25.107815564320326,3.3438012159461317,0.3,20
Greedy,28,-432814.7013364637,211.07027629372178,25.509198057390513,6.240412035370563,0.3,20
Greedy,29,-352858.32340521616,173.46517168616626,24.85362746388888,1.079912977245319,0.4,20
Greedy,30,-448501.3192688723,219.38926432882604,25.70178916889584,6.161365834519776,0.15,20
Greedy,31,-415964.6418079111,204.1136563475797,25.115461839060174,3.1024749226822212,0.35,20
Greedy,32,-399770.2065983846,196.03674046873283,25.10275237989353,3.873608531428421,0.2,20
Greedy,33,-380940.90652747743,186.979147064698,25.118251002113123,2.902663658546025,0.45,20
Greedy,34,-413708.5518161077,202.39802642929766,24.994304697778947,5.242673249515067,0.25,20
Greedy,35,-372687.45932081324,182.58226364345643,25.08335428703351,2.716813217991036,0.25,20
Greedy,36,-343952.17121916515,169.44334646451696,25.73293732725646,0.38566216764593475,0.45,20
Greedy,37,-327768.9933802744,159.99431334367674,24.794925106708497,3.121611577517462,0.25,20
Greedy,38,-311040.67266022094,153.1524757884872,24.751167427515547,0.07067114149832374,0.45,20
Greedy,39,-382688.51077515725,186.17774284687582,25.326371092545422,5.757368871118261,0.25,20
Greedy,40,-393640.21760554163,193.987731108829,24.956900671883073,1.675524795020668,0.45,20
