method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2,0,-44455.49905833139,20.446637118738753,24.00012456955105,0.0,0.6,20
Proposed_full_stage2,1,-43749.16574385442,19.638532826144974,24.00007419773376,0.0,0.5,20
Proposed_full_stage2,2,-43230.452985565564,19.758329603284192,24.000159373743777,0.0,0.55,20
Proposed_full_stage2,3,-45077.209359578745,20.614578358024737,24.00007580737718,0.0,0.55,20
Proposed_full_stage2,4,-43339.569231113914,19.535417254557856,24.000109196582653,0.0,0.0,20
Proposed_full_stage2,5,-44422.04438949289,20.22577529954993,24.00011777422581,0.0,0.55,20
Proposed_full_stage2,6,-41639.61141050435,18.591644022851845,24.00008336784153,0.0,0.5,20
Proposed_full_stage2,7,-44472.83185236307,20.073923456364636,24.000118042394188,0.0,0.5,20
Proposed_full_stage2,8,-42296.1620725767,19.162752681640022,24.000067967025768,0.0,0.55,20
Proposed_full_stage2,9,-43083.6716483984,19.38270168990033,24.000141881476793,0.0,0.5,20
Proposed_full_stage2,10,-40581.66021194173,18.306327065418436,24.000119624459263,0.0,0.55,20
Proposed_full_stage2,11,-42208.697803027775,19.37728183234872,24.000067547918555,0.0,0.6,20
Proposed_full_stage2,12,-41306.56366135356,18.448470244495834,24.00014826358915,0.0,0.5,20
Proposed_full_stage2,13,-45560.82017326238,20.829132203831044,24.000086318504913,0.0,0.55,20
Proposed_full_stage2,14,-40655.79334578486,18.486160977299093,24.000072040726835,0.0,0.55,20
Proposed_full_stage2,15,-45099.0177206543,20.567249231404443,24.000085848900916,0.0,0.55,20
Proposed_full_stage2,16,-39880.996613699834,17.835024885485954,24.000158735720838,0.0,0.5,20
Proposed_full_stage2,17,-43334.84625503774,19.84774997497815,24.000151224960742,0.0,0.6,20
Proposed_full_stage2,18,-42765.11850794586,19.15824724654163,24.0001090400797,0.0,0.5,20
Proposed_full_stage2,19,-43964.21617371865,20.10868852791219,24.00007128079724,0.0,0.55,20
Proposed_full_stage2,20,-42906.52240482549,19.34148376598586,24.00009591895762,0.0,0.5,20
Proposed_full_stage2,21,-45335.46301070901,20.59156784693819,24.000149442617122,0.0,0.5,20
Proposed_full_stage2,22,-42800.97285240952,19.385714823385932,24.000108525537666,0.0,0.55,20
Proposed_full_stage2,23,-44247.21925329202,19.88578178001581,24.00013467278477,0.0,0.5,20
Proposed_full_stage2,24,-44093.48749150825,19.82189832133138,24.000098975923137,0.0,0.5,20
Proposed_full_stage2,25,-44363.74001499114,20.09985491424673,24.000086961227257,0.0,0.5,20
Proposed_full_stage2,26,-40558.48991640362,18.22181508944046,24.00008363605766,0.0,0.5,20
Proposed_full_stage2,27,-41388.5094460406,18.52517117747993,24.00006814596581,0.0,0.5,20
Proposed_full_stage2,28,-46339.648407426,21.23450198934241,24.000093555082415,0.0,0.55,20
Proposed_full_stage2,29,-45553.64042061951,20.60114307240459,24.000118372152414,0.0,0.5,20
Proposed_full_stage2,30,-45540.30774934773,21.37956292072687,24.000093951881695,0.0,0.7,20
