method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Pure_MADDPG,0,-601911.1369922904,225.25542264305636,392.418050769958,7.43177633673199,0.0,20
Pure_MADDPG,1,-517772.04781195486,186.37731236114342,392.0072082803005,2.0860437571385333,0.0,20
Pure_MADDPG,2,-571534.539444499,210.4743370791708,392.20542465439416,8.784559151188182,0.0,20
Pure_MADDPG,3,-599413.1538497786,224.92612194751624,392.2484131216208,5.258352790223934,0.0,20
Pure_MADDPG,4,-574416.118025708,209.7063024064968,391.822862218521,10.893059701604521,0.0,20
Pure_MADDPG,5,-643846.6310974068,244.22114355927965,392.51012268611294,9.713857631762693,0.0,20
Pure_MADDPG,6,-510834.82367385185,181.76275486140335,392.00170270192746,4.2542766034614585,0.0,20
Pure_MADDPG,7,-530456.8479773119,192.0520969844045,392.32453301472657,2.6037999505555,0.0,20
Pure_MADDPG,8,-547470.5373408347,200.06636729184083,392.4822675818716,4.093651092243616,0.0,20
Pure_MADDPG,9,-564388.4728514185,207.0254364926456,392.33073196953376,4.551161811233625,0.0,20
Pure_MADDPG,10,-558351.6497156501,205.17529967989435,393.1342471552443,4.4720288969808175,0.0,20
Pure_MADDPG,11,-563367.1583027476,207.96568566406023,391.96660307853614,6.536286612835285,0.0,20
Pure_MADDPG,12,-599132.6705473728,224.74953299335,392.4466646389454,8.750303044172245,0.0,20
Pure_MADDPG,13,-604879.5044351486,228.32670841702912,393.34651768370253,4.652243365749985,0.0,20
Pure_MADDPG,14,-578803.9641153872,215.2396898539502,391.79553983212475,4.484791005946643,0.0,20
Pure_MADDPG,15,-591788.4209585218,220.29886684741345,392.40233828022133,6.221470375416439,0.0,20
Pure_MADDPG,16,-550422.6241311099,201.23354545906722,392.7987501385237,2.6394115549001533,0.0,20
Pure_MADDPG,17,-543282.6454716432,198.31132975972028,392.1812062721332,4.245848492946908,0.0,20
Pure_MADDPG,18,-549004.2776617466,198.99917578259814,392.08601370302165,6.603405476298974,0.0,20
Pure_MADDPG,19,-620563.6789519137,235.22096005080502,393.16539616420334,6.560705087241018,0.0,20
Pure_MADDPG,20,-591101.9037251921,220.12643706416097,393.3750927903839,6.460864563555456,0.0,20
Pure_MADDPG,21,-612439.1663248913,230.02039510648427,392.8964716434519,10.138160740510452,0.0,20
Pure_MADDPG,22,-551611.0618510079,202.05940593974094,393.09578093057115,2.7226274139880884,0.0,20
Pure_MADDPG,23,-599859.5682646022,224.12224219814584,393.1283446116963,6.113739700056551,0.0,20
Pure_MADDPG,24,-576120.6097930921,211.87841423085538,393.4054294556779,7.5387168900738475,0.0,20
Pure_MADDPG,25,-518462.928296732,184.60565800884243,391.702783754146,5.87191343602941,0.0,20
Pure_MADDPG,26,-548828.5948286252,200.20354585596345,392.23137899081735,3.4085050140768325,0.0,20
Pure_MADDPG,27,-563479.5918853369,207.96020163867178,391.6049332777399,3.2519357806838087,0.0,20
Pure_MADDPG,28,-546685.5484024228,199.0680294484816,393.1442203270534,5.092190722995051,0.0,20
Pure_MADDPG,29,-499564.8945586259,176.838266056991,392.32237867211495,1.893373400584938,0.0,20
Pure_MADDPG,30,-621982.1864158724,234.5791149532989,392.92553058049305,8.74000751870608,0.0,20
Pure_MADDPG,31,-575073.8113086438,213.79247823305914,393.18008089677676,4.37299660469524,0.0,20
Pure_MADDPG,32,-537415.9542771563,195.03170972850972,391.95126823816594,4.4774739093027005,0.0,20
Pure_MADDPG,33,-578018.6892316554,214.60916609004985,392.0596063272942,4.547827329413782,0.0,20
Pure_MADDPG,34,-536018.0097683052,195.01731926600684,393.13621085860336,2.899752127562292,0.0,20
