method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Random,0,-653045.9234366794,229.85536437914084,507.21889914858747,18.81885707366804,0.0,20
Random,1,-541668.219336202,179.23171256665756,506.9511218732323,7.85019642827839,0.0,20
Random,2,-613314.2820419177,211.84330530036428,506.93077719134726,15.036045202575469,0.0,20
Random,3,-583811.4733072871,200.74802111306582,507.18182589183004,7.499891478865967,0.0,20
Random,4,-655216.6367186815,228.16134852731437,506.83059336324925,23.668930655961656,0.0,20
Random,5,-648621.9697334026,230.62567091388524,507.539803908101,12.219607561203906,0.0,20
Random,6,-532956.7452151993,174.69384462766084,507.20170824903164,8.142694679225379,0.0,20
Random,7,-585393.6810956692,199.06231675941314,506.84333793467493,12.136946140433835,0.0,20
Random,8,-605560.8379276188,210.07823084536594,507.3062785143537,10.40548247780587,0.0,20
Random,9,-625679.412488406,217.57859671655538,506.9812458735091,15.29193489527438,0.0,20
Random,10,-612283.948756172,210.78019094237098,507.28426423781076,15.704881483250162,0.0,20
Random,11,-555031.2739418732,186.88886532868779,507.1459377619036,6.77176263003769,0.0,20
Random,12,-651332.6997332252,228.55440634524052,507.1747916690824,18.82089448296898,0.0,20
Random,13,-674727.9227536322,241.68834747778655,507.41491331356536,16.378009179268975,0.0,20
Random,14,-624500.2903548388,217.58555761292374,507.48329908885796,14.530146251106814,0.0,20
Random,15,-658094.780885648,232.7402713041876,507.617405483704,17.48184726457955,0.0,20
Random,16,-594929.9759271583,205.49482816333813,506.4792970540825,8.974091865782512,0.0,20
Random,17,-593583.2305472683,202.90580216898508,507.07217172577975,13.273055509550641,0.0,20
Random,18,-587458.7923643843,201.34779561570684,506.45749672931726,9.617304005155063,0.0,20
Random,19,-698810.1467453076,249.8605511997761,507.6666431454125,24.247206274424997,0.0,20
Random,20,-636174.3843351788,222.55777255397493,507.52633219494265,15.762896734373502,0.0,20
Random,21,-674634.5612606405,236.15507406164693,507.4581197067246,27.165666721244055,0.0,20
Random,22,-591869.1154269148,202.19632044044016,507.3385655428133,12.393447860617268,0.0,20
Random,23,-644259.6532302971,226.65293611462863,507.51760358213204,15.352847619742525,0.0,20
Random,24,-596789.8262700236,203.9363481577972,507.5808448098219,13.326225482926116,0.0,20
Random,25,-583316.9188964327,197.8265381569497,507.13025405666406,12.441797753190965,0.0,20
Random,26,-611009.6446320338,211.2016912204997,507.4080326444199,13.33332022405852,0.0,20
Random,27,-619003.1518003553,214.48846486838028,507.34556635887765,14.680710213421168,0.0,20
Random,28,-541016.7936588656,179.55743685407916,507.2730319701409,6.9314357959213195,0.0,20
Random,29,-570721.2558772011,192.50794612697106,507.14702355453517,10.480142518889819,0.0,20
Random,30,-679632.6933084537,245.25300367567053,507.32981021497636,15.309965430061476,0.0,20
Random,31,-644887.133879124,226.7487819911862,507.3596262011063,16.143870064875422,0.0,20
Random,32,-554953.1384743319,186.8857194540454,507.0353470515355,7.122998332882384,0.0,20
Random,33,-645816.8342031926,229.82174743918966,507.2938191739405,11.70586715384907,0.0,20
Random,34,-601606.1656105681,207.30602499883253,507.01848649350467,12.944127337682858,0.0,20
Random,35,-546129.8756594947,182.07462938032813,507.2747859759117,6.746147828706613,0.0,20
Random,36,-611637.7314759482,213.53249379749028,507.3186141057378,9.468880368824237,0.0,20
Random,37,-569126.2994192129,192.61979256071393,506.66926951755306,8.678017731105607,0.0,20
Random,38,-515722.4147941451,168.91151094244105,506.99471196838886,2.7540696794635418,0.0,20
Random,39,-598123.9781612704,203.25443960632475,507.4956072415965,16.358971129333504,0.0,20
Random,40,-601756.0254694902,209.34004016477812,507.0236565588516,8.701190234622677,0.0,20
Random,41,-559607.5568839677,189.02363401317243,507.07767758989155,7.014820311701557,0.0,20
Random,42,-609212.7870543071,209.46175154417023,506.72072913751117,15.586096816857003,0.0,20
Random,43,-610247.7481524681,211.93659718493842,507.3101268979809,11.429235964071427,0.0,20
Random,44,-603329.1614492111,205.60714869348013,507.55726171185233,16.493605188680366,0.0,20
Random,45,-585162.1803214884,198.7529316117653,507.19422876156307,12.755524424061356,0.0,20
Random,46,-679516.0528720561,242.28330268151845,507.5141380455525,19.951034993970936,0.0,20
Random,47,-658976.3881912202,231.41276323493398,507.05901966489216,20.848289982930215,0.0,20
Random,48,-557478.0762100893,186.31657987830982,507.2767412134003,9.687053814743077,0.0,20
Random,49,-605996.0731833414,207.29731906053343,506.4875724863215,16.719056323059576,0.0,20
Random,50,-634620.6202995246,221.208195489036,507.5242137959449,17.339234059434848,0.0,20
Random,51,-635898.1998189797,223.95747053854666,507.5675535049804,12.800366974999367,0.0,20
Random,52,-542090.7290609633,179.77081017186376,506.94199459866405,8.346469486304374,0.0,20
Random,53,-610958.4748489081,212.05436186421343,507.4167089045175,11.424034912287365,0.0,20
Random,54,-566491.8617161533,188.54726569813707,507.1476591992056,14.068259543375152,0.0,20
Random,55,-586346.9913023234,200.51434313329977,507.1623573826335,11.477222311225884,0.0,20
Random,56,-599975.4087841111,205.10223063559107,506.86737495541985,14.578691155268459,0.0,20
Random,57,-639487.7969582244,225.6839921516765,507.4334679452233,12.597705421311366,0.0,20
Random,58,-583247.5894475289,197.88992836915074,506.94018653994556,12.475043704422427,0.0,20
Random,59,-625847.484176941,217.72925306608303,507.3026934620275,14.915333626646461,0.0,20
Random,60,-590581.5598471519,204.39030051631255,507.1760324622678,7.27489675110139,0.0,20
Random,61,-624248.571691927,217.2317126333684,506.5358252831188,14.546834633672765,0.0,20
Random,62,-629577.4857474418,220.52257621925054,507.503262804015,13.726073109135807,0.0,20
Random,63,-608811.5804039242,211.1218045793201,507.23725331788273,11.97995762402121,0.0,20
Random,64,-601357.093557768,209.35848459670302,506.7822525920803,7.479510342853878,0.0,20
Random,65,-547155.708314337,183.42463714786078,507.3886124975667,5.170006924901064,0.0,20
Random,66,-558536.0066660487,188.26204657427508,506.85519364336113,6.907654096125327,0.0,20
Random,67,-532744.8656013069,174.3798359221014,507.00448808020553,8.62633908202975,0.0,20
Random,68,-557467.0743322609,189.45887804666592,507.0289802541256,4.50024039359956,0.0,20
Random,69,-569801.2612057987,193.2385574046253,506.41242058994493,8.206483741500165,0.0,20
Random,70,-584028.7515207988,199.1079915879878,507.2186898510481,11.053238787054422,0.0,20
Random,71,-538574.8464674746,178.87614917604657,507.42126222621044,5.95622556116207,0.0,20
Random,72,-636053.2139623499,221.11221736470944,507.0561264031862,18.527204017133347,0.0,20
Random,73,-545770.4704680813,182.38263837352494,506.9141561240998,5.874129212414167,0.0,20
Random,74,-552609.1294350052,183.99147085467942,507.48796269239335,8.704836633769233,0.0,20
Random,75,-540528.8076860498,180.6742935419464,507.0018222204697,4.078093235298694,0.0,20
Random,76,-613463.6177942199,211.2152383965967,507.18352868388035,15.637881985735712,0.0,20
Random,77,-608684.4636501508,211.11363517450482,507.01542490771635,11.28881623113308,0.0,20
Random,78,-561725.8947909602,189.21514917452652,507.349320730578,8.430962923562767,0.0,20
Random,79,-553647.0513399484,184.95332026241562,507.33815301374926,8.345696041323462,0.0,20
Random,80,-595143.8560535738,205.63199490306152,507.5319292166252,9.47349726320535,0.0,20
Random,81,-552592.5823336353,185.6047532795589,507.11566884075165,6.860204671934325,0.0,20
Random,82,-571822.7109253645,193.03954663539474,507.3978853714587,10.149001002418945,0.0,20
Random,83,-648502.6342711236,231.49036419590212,506.60973611666424,11.196930400367817,0.0,20
Random,84,-668605.7315193528,239.89755198795268,507.0196762781031,14.195476302321893,0.0,20
Random,85,-504456.38278771227,161.840711577924,507.11429175073556,5.816095129742995,0.0,20
Random,86,-590319.6410085793,201.31044385423124,507.2556783585211,12.54137359367353,0.0,20
Random,87,-552007.6189040822,184.64006340763845,506.83837156458367,7.854130066068345,0.0,20
