method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2,0,-170314.3586895945,20.446637118738753,505.4699997963203,0.0,0.25,20
Proposed_full_stage2,1,-177797.23836965588,19.638532826144974,505.46999992719793,0.0,0.2,20
Proposed_full_stage2,2,-170453.50254734274,19.758329603284192,505.4699996408491,0.0,0.25,20
Proposed_full_stage2,3,-173508.81629467686,20.614578358024737,505.46999992668924,0.0,0.25,20
Proposed_full_stage2,4,-175057.12295048375,19.535417254557856,505.4699998423263,0.0,0.0,20
Proposed_full_stage2,5,-173955.35382837342,20.22577529954993,505.46999982213845,0.0,0.25,20
Proposed_full_stage2,6,-175545.5403226205,18.591644022851845,505.46999990461546,0.0,0.2,20
Proposed_full_stage2,7,-177196.55297698147,20.073923456364636,505.4699998131402,0.0,0.2,20
Proposed_full_stage2,8,-171831.15983614855,19.162752681640022,505.46999994204816,0.0,0.25,20
Proposed_full_stage2,9,-175747.04867140335,19.38270168990033,505.4699997809318,0.0,0.2,20
Proposed_full_stage2,10,-170101.56692916408,18.306327065418436,505.4699997986959,0.0,0.25,20
Proposed_full_stage2,11,-167095.0929889388,19.37728183234872,505.4699999401443,0.0,0.25,20
Proposed_full_stage2,12,-174792.1069910661,18.448470244495834,505.4699997478427,0.0,0.2,20
Proposed_full_stage2,13,-174482.86011242133,20.829132203831044,505.46999990578024,0.0,0.25,20
Proposed_full_stage2,14,-167606.13327369158,18.486160977299093,505.4699999361559,0.0,0.25,20
Proposed_full_stage2,15,-174578.73309689926,20.567249231404443,505.4699999158235,0.0,0.25,20
Proposed_full_stage2,16,-171578.43031339717,17.835024885485954,505.4699996963639,0.0,0.25,20
Proposed_full_stage2,17,-169887.90898061718,19.84774997497815,505.4699997333267,0.0,0.25,20
Proposed_full_stage2,18,-176601.7355637057,19.15824724654163,505.46999984951816,0.0,0.2,20
Proposed_full_stage2,19,-171484.967441292,20.10868852791219,505.4699999201604,0.0,0.25,20
Proposed_full_stage2,20,-174717.4766661432,19.34148376598586,505.4699998756716,0.0,0.25,20
Proposed_full_stage2,21,-176505.186254038,20.59156784693819,505.4699997555699,0.0,0.25,20
Proposed_full_stage2,22,-172865.7635306605,19.385714823385932,505.46999984670595,0.0,0.25,20
Proposed_full_stage2,23,-178326.9633827587,19.88578178001581,505.4699998105257,0.0,0.2,20
Proposed_full_stage2,24,-177939.65033824995,19.82189832133138,505.469999865799,0.0,0.2,20
Proposed_full_stage2,25,-175639.0188215214,20.09985491424673,505.46999989002245,0.0,0.25,20
Proposed_full_stage2,26,-171391.3608644558,18.22181508944046,505.4699999159364,0.0,0.25,20
Proposed_full_stage2,27,-174231.16867521478,18.52517117747993,505.4699999370265,0.0,0.2,20
Proposed_full_stage2,28,-174974.41595515358,21.23450198934241,505.4699998963856,0.0,0.25,20
Proposed_full_stage2,29,-178514.73389886785,20.60114307240459,505.46999980212377,0.0,0.2,20
Proposed_full_stage2,30,-164370.0581675618,21.37956292072687,505.46999987173984,0.0,0.3,20
Proposed_full_stage2,31,-175158.999414162,19.474291927705075,505.4699997949642,0.0,0.25,20
Proposed_full_stage2,32,-163314.12699051705,19.672518181395066,505.4699999769953,0.0,0.3,20
Proposed_full_stage2,33,-166326.8436452961,18.798877049694593,505.46999973943383,0.0,0.25,20
Proposed_full_stage2,34,-162638.78696248078,18.70610530104324,505.4699999242236,0.0,0.3,20
Proposed_full_stage2,35,-173912.2877778771,19.076140389726852,505.469999870613,0.0,0.25,20
Proposed_full_stage2,36,-172608.30135968415,20.295984636987058,505.4699999675946,0.0,0.25,20
Proposed_full_stage2,37,-176885.6536405929,19.317151327087295,505.46999972919883,0.0,0.2,20
Proposed_full_stage2,38,-175956.11616303335,19.972315595855072,505.4699999314238,0.0,0.25,20
Proposed_full_stage2,39,-176842.06352254294,20.743932801085244,505.4699999242004,0.0,0.25,20
Proposed_full_stage2,40,-170354.30684750702,20.605118588546816,505.46999993683437,0.0,0.25,20
Proposed_full_stage2,41,-170554.54602791538,20.506028537110716,505.4699998843018,0.0,0.25,20
Proposed_full_stage2,42,-168074.65955804425,20.486206146859974,505.46999992804774,0.0,0.0,20
Proposed_full_stage2,43,-172299.87166840272,19.851328406229477,505.469999941385,0.0,0.25,20
Proposed_full_stage2,44,-176692.43858893885,19.383249609290907,505.46999993441796,0.0,0.2,20
Proposed_full_stage2,45,-173024.92877579285,20.245499664881514,505.4699997997077,0.0,0.25,20
Proposed_full_stage2,46,-170710.9124658128,19.20729325657002,505.46999986948805,0.0,0.25,20
Proposed_full_stage2,47,-177722.58470411215,19.704533039902763,505.46999978800375,0.0,0.2,20
Proposed_full_stage2,48,-173211.09899812477,19.417800965028004,505.4699998780942,0.0,0.25,20
Proposed_full_stage2,49,-170125.1505695839,18.67350797203467,505.469999650116,0.0,0.25,20
Proposed_full_stage2,50,-170610.20251966442,20.057784387325718,505.46999983969744,0.0,0.25,20
