method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2,0,-86546.88467206826,20.446637118738753,505.4699979218044,0.0,0.75,20
Proposed_full_stage2,1,-107678.39738432707,19.638532826144974,505.46999934309144,0.0,0.65,20
Proposed_full_stage2,2,-88959.66729814679,19.758329603284192,505.46999718242444,0.0,0.75,20
Proposed_full_stage2,3,-94029.20558043718,20.614578358024737,505.46999919257706,0.0,0.7,20
Proposed_full_stage2,4,-101056.2882347804,19.535417254557856,505.46999833105167,0.0,0.0,20
Proposed_full_stage2,5,-96311.95806991127,20.22577529954993,505.46999824110696,0.0,0.7,20
Proposed_full_stage2,6,-105189.81834684679,18.591644022851845,505.46999912344006,0.0,0.65,20
Proposed_full_stage2,7,-104870.51134073263,20.073923456364636,505.4699979563845,0.0,0.65,20
Proposed_full_stage2,8,-94190.5413464059,19.162752681640022,505.46999944940245,0.0,0.7,20
Proposed_full_stage2,9,-103320.4163435373,19.38270168990033,505.469997541642,0.0,0.65,20
Proposed_full_stage2,10,-92435.83531151855,18.306327065418436,505.46999735051315,0.0,0.7,20
Proposed_full_stage2,11,-81706.78694862922,19.37728183234872,505.46999965028397,0.0,0.8,20
Proposed_full_stage2,12,-103735.7565209187,18.448470244495834,505.4699977718111,0.0,0.65,20
Proposed_full_stage2,13,-95820.6532855166,20.829132203831044,505.4699988795045,0.0,0.7,20
Proposed_full_stage2,14,-85657.75008347667,18.486160977299093,505.46999938203726,0.0,0.75,20
Proposed_full_stage2,15,-96845.9847398098,20.567249231404443,505.4699990636117,0.0,0.7,20
Proposed_full_stage2,16,-97541.90075819897,17.835024885485954,505.4699964989818,0.0,0.65,20
Proposed_full_stage2,17,-87277.4222084137,19.84774997497815,505.4699969482458,0.0,0.75,20
Proposed_full_stage2,18,-106130.4969610135,19.15824724654163,505.4699980782492,0.0,0.65,20
Proposed_full_stage2,19,-90487.25295608799,20.10868852791219,505.4699993220447,0.0,0.75,20
