method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Random,0,-2961027830.0804496,1176281.8468549408,507.21889914858747,608432.7235245111,0.0,20
Random,1,-4778986778.455768,1962784.0616130817,506.9511218732323,853359.8047053497,0.0,20
Random,2,-6358796181.640181,2602348.130236431,506.93077719134726,1154063.7117223197,0.0,20
Random,3,-3854280363.299197,1612531.4830966596,507.18182589183004,629176.9457702244,0.0,20
Random,4,-2650382342.771268,1094812.1626644514,506.83059336324925,460706.9629240213,0.0,20
Random,5,-1949218850.0056634,774860.9984285614,507.539803908101,399452.7426637884,0.0,20
Random,6,-2361608658.598656,974880.0838632507,507.20170824903164,411789.9449560126,0.0,20
Random,7,-1965118132.6652737,807182.7420568252,506.84333793467493,350698.2938939733,0.0,20
Random,8,-6505159728.47896,2633312.7737790216,507.3062785143537,1238490.0185331157,0.0,20
Random,9,-8371511982.412779,3454331.9448616663,506.9812458735091,1462793.7971190508,0.0,20
Random,10,-1904511890.091047,778017.2510798695,507.28426423781076,348433.3379486052,0.0,20
Random,11,-12833818798.55398,5275285.751948346,507.1459377619036,2283219.2867336185,0.0,20
Random,12,-8485519677.920021,3548700.3878153143,507.1747916690824,1388061.666788663,0.0,20
Random,13,-1193447089.9789374,470101.56263465167,507.41491331356536,253202.0861027326,0.0,20
Random,14,-3790577333.6888733,1549901.2907623183,507.48329908885796,690739.6784156982,0.0,20
Random,15,-3081274835.650203,1256126.8091286097,507.617405483704,568977.5782230011,0.0,20
Random,16,-2598669834.655935,1025234.9305095182,506.4792970540825,548148.8266935403,0.0,20
Random,17,-1900654222.2560763,749364.0791046259,507.07217172577975,401892.0289896796,0.0,20
Random,18,-1045942522.1328483,439678.1232157329,506.45749672931726,166528.07694964795,0.0,20
Random,19,-4014464570.693127,1670267.4168524572,507.6666431454125,673892.3646295499,0.0,20
Random,20,-3216224854.612064,1307411.4261101896,507.52633219494265,601350.4380908267,0.0,20
Random,21,-2447375424.668584,980186.9157494173,507.4581197067246,486951.9543122084,0.0,20
Random,22,-1593339059.1076562,659142.0826455548,507.3385655428133,275009.18317,0.0,20
Random,23,-975935590.5120747,392280.937603926,507.51760358213204,191314.3339913223,0.0,20
Random,24,-4660185945.880073,1895152.017764679,507.5808448098219,869823.353437881,0.0,20
Random,25,-2625177657.094352,1055172.3943949786,507.13025405666406,514782.7679709351,0.0,20
Random,26,-6869219220.893894,2703123.660369343,507.4080326444199,1462923.6645431374,0.0,20
Random,27,-2717431264.3906164,1089298.3593360079,507.34556635887765,538779.5159354284,0.0,20
Random,28,-2355577651.967016,948896.8614640571,507.2730319701409,457742.7321599054,0.0,20
Random,29,-1006582519.6442466,408190.9972137073,507.14702355453517,190145.15625031237,0.0,20
Random,30,-5424129101.094892,2143968.8466730635,507.32981021497636,1136181.211160855,0.0,20
Random,31,-2523570161.3912673,1028982.3162130574,507.3596262011063,465553.29679266363,0.0,20
Random,32,-3930942938.1633883,1631475.8250930603,507.0353470515355,667975.6077913989,0.0,20
Random,33,-1628056551.2473824,638514.7749024801,507.2938191739405,350997.2847583663,0.0,20
