method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Greedy,0,-61957.72770517705,20.446637118738753,505.4700000000001,0.0,0.9,20
Greedy,1,-87638.78382887278,19.638532826144974,505.4700000000001,0.0,0.75,20
Greedy,2,-65128.3893538655,19.758329603284192,505.4700000000001,0.0,0.9,20
Greedy,3,-70869.33547742164,20.614578358024737,505.4700000000001,0.0,0.85,20
Greedy,4,-79718.23626376787,19.535417254557856,505.4700000000001,0.0,0.0,20
Greedy,5,-73764.16038446056,20.22577529954993,505.4700000000001,0.0,0.85,20
Greedy,6,-85071.24494067568,18.591644022851845,505.4700000000001,0.0,0.75,20
Greedy,7,-84095.16519750615,20.073923456364636,505.4700000000001,0.0,0.75,20
Greedy,8,-71643.66881558385,19.162752681640022,505.4700000000001,0.0,0.85,20
Greedy,9,-82511.53933315675,19.38270168990033,505.4700000000001,0.0,0.8,20
Greedy,10,-69880.59262461892,18.306327065418436,505.4700000000001,0.0,0.85,20
Greedy,11,-56577.351658399464,19.37728183234872,505.4700000000001,0.0,0.95,20
Greedy,12,-83383.64008804974,18.448470244495834,505.4700000000001,0.0,0.75,20
Greedy,13,-72933.25157003585,20.829132203831044,505.4700000000001,0.0,0.85,20
Greedy,14,-61674.955941863365,18.486160977299093,505.4700000000001,0.0,0.9,20
Greedy,15,-74268.40241253727,20.567249231404443,505.4700000000001,0.0,0.85,20
Greedy,16,-76196.39150485548,17.835024885485954,505.4700000000001,0.0,0.8,20
Greedy,17,-63073.92713410378,19.84774997497815,505.4700000000001,0.0,0.9,20
Greedy,18,-85973.41775559151,19.15824724654163,505.4700000000001,0.0,0.75,20
Greedy,19,-66821.34824088271,20.10868852791219,505.4700000000001,0.0,0.9,20
Greedy,20,-79587.69499323572,19.34148376598586,505.4700000000001,0.0,0.8,20
Greedy,21,-79950.48750480506,20.59156784693819,505.4700000000001,0.0,0.8,20
Greedy,22,-73855.63138342075,19.385714823385932,505.4700000000001,0.0,0.85,20
Greedy,23,-88238.9631249181,19.88578178001581,505.4700000000001,0.0,0.75,20
Greedy,24,-87332.55779015276,19.82189832133138,505.4700000000001,0.0,0.75,20
Greedy,25,-79318.83685947377,20.09985491424673,505.4700000000001,0.0,0.8,20
Greedy,26,-74088.02226418549,18.22181508944046,505.4700000000001,0.0,0.8,20
Greedy,27,-81394.02133848067,18.52517117747993,505.4700000000001,0.0,0.75,20
Greedy,28,-72786.4399890438,21.23450198934241,505.4700000000001,0.0,0.85,20
Greedy,29,-85940.82949868838,20.60114307240459,505.4700000000001,0.0,0.75,20
Greedy,30,-52868.525841453746,21.37956292072687,505.4700000000001,0.0,1.0,20
Greedy,31,-80381.03065460813,19.474291927705075,505.4700000000001,0.0,0.8,20
Greedy,32,-49454.43636279013,19.672518181395066,505.4700000000001,0.0,1.0,20
Greedy,33,-56586.22285832598,18.798877049694593,505.4700000000001,0.0,0.9,20
Greedy,34,-47521.6106020865,18.70610530104324,505.4700000000001,0.0,1.0,20
Greedy,35,-78233.50185744115,19.076140389726852,505.4700000000001,0.0,0.8,20
Greedy,36,-69442.16554182104,20.295984636987058,505.4700000000001,0.0,0.85,20
Greedy,37,-86189.55575585514,19.317151327087295,505.4700000000001,0.0,0.75,20
Greedy,38,-80780.28614716098,19.972315595855072,505.4700000000001,0.0,0.8,20
Greedy,39,-80351.65940765305,20.743932801085244,505.4700000000001,0.0,0.8,20
Greedy,40,-61443.646218742026,20.605118588546816,505.4700000000001,0.0,0.9,20
Greedy,41,-62440.72397890008,20.506028537110716,505.4700000000001,0.0,0.9,20
Greedy,42,-53812.78974867288,20.486206146859974,505.4700000000001,0.0,0.0,20
Greedy,43,-70295.50141122988,19.851328406229477,505.4700000000001,0.0,0.85,20
Greedy,44,-85345.51737139614,19.383249609290907,505.4700000000001,0.0,0.75,20
Greedy,45,-70893.98775788776,20.245499664881514,505.4700000000001,0.0,0.85,20
Greedy,46,-68104.76443336198,19.20729325657002,505.4700000000001,0.0,0.85,20
Greedy,47,-87150.82209239416,19.704533039902763,505.4700000000001,0.0,0.75,20
Greedy,48,-74763.29319130849,19.417800965028004,505.4700000000001,0.0,0.8,20
Greedy,49,-68482.61996958134,18.67350797203467,505.4700000000001,0.0,0.85,20
Greedy,50,-64400.67010015067,20.057784387325718,505.4700000000001,0.0,0.9,20
Greedy,51,-76414.41060358242,21.065029528198718,505.4700000000001,0.0,0.85,20
Greedy,52,-53631.07663011647,18.980559393828166,505.4700000000001,0.0,0.95,20
Greedy,53,-85334.52694766446,19.914611836278247,505.4700000000001,0.0,0.75,20
Greedy,54,-82697.40655515352,19.988855234080997,505.4700000000001,0.0,0.8,20
Greedy,55,-51462.62287700843,20.67661143850422,505.4700000000001,0.0,1.0,20
Greedy,56,-82677.73183518095,18.83521656460283,505.4700000000001,0.0,0.75,20
Greedy,57,-86982.07865395807,20.329118977528452,505.4700000000001,0.0,0.75,20
Greedy,58,-76808.4223574722,19.652981031312574,505.4700000000001,0.0,0.8,20
Greedy,59,-84891.49933814022,19.192879288789907,505.4700000000001,0.0,0.75,20
Greedy,60,-60604.62111438912,18.742269207261963,505.4700000000001,0.0,0.9,20
Greedy,61,-84460.42626576654,18.389481097264387,505.4700000000001,0.0,0.75,20
Greedy,62,-64131.91858327524,19.882915342788326,505.4700000000001,0.0,0.9,20
Greedy,63,-64647.86633943758,20.772777615110485,505.4700000000001,0.0,0.9,20
Greedy,64,-79262.45168365445,18.838428733094275,505.4700000000001,0.0,0.8,20
Greedy,65,-74507.96364338981,18.540848676738037,505.4700000000001,0.0,0.8,20
Greedy,66,-82349.42483704102,19.483689783871196,505.4700000000001,0.0,0.8,20
Greedy,67,-86792.25495820738,19.277169818265516,505.4700000000001,0.0,0.75,20
Greedy,68,-45805.1217220451,17.847860861022557,505.4700000000001,0.0,1.0,20
Greedy,69,-87318.43505119273,20.87000296750069,505.4700000000001,0.0,0.75,20
Greedy,70,-64262.34943996769,18.119468061141735,505.4700000000001,0.0,0.85,20
Greedy,71,-66238.43428890771,20.272878861150726,505.4700000000001,0.0,0.9,20
Greedy,72,-84577.70478555682,19.477150688979464,505.4700000000001,0.0,0.75,20
Greedy,73,-84638.32807993151,20.14834165299176,505.4700000000001,0.0,0.75,20
Greedy,74,-85912.64140982644,19.384574476409945,505.4700000000001,0.0,0.75,20
Greedy,75,-78241.3458870932,19.011710740244933,505.4700000000001,0.0,0.8,20
Greedy,76,-85287.39844904792,19.471537058611865,505.4700000000001,0.0,0.75,20
Greedy,77,-80976.62431060149,18.911115730341912,505.4700000000001,0.0,0.8,20
Greedy,78,-65737.55866142675,19.602015645333875,505.4700000000001,0.0,0.9,20
Greedy,79,-83138.72690785282,20.028996904492452,505.4700000000001,0.0,0.8,20
Greedy,80,-51201.87064799649,19.104752837691517,505.4700000000001,0.0,0.95,20
Greedy,81,-61236.45110236871,19.137488689672878,505.4700000000001,0.0,0.9,20
Greedy,82,-87552.23232218872,19.62847420929049,505.4700000000001,0.0,0.75,20
Greedy,83,-58699.59740784806,19.474357203856677,505.4700000000001,0.0,0.9,20
