method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2,0,-61957.7268910655,20.446637118738753,505.4699984422364,0.0,0.9,20
Proposed_full_stage2,1,-87638.78375332807,19.638532826144974,505.46999939482174,0.0,0.75,20
Proposed_full_stage2,2,-65128.3890415974,19.758329603284192,505.4699975682767,0.0,0.9,20
Proposed_full_stage2,3,-70869.33539418061,20.614578358024737,505.46999934841205,0.0,0.85,20
Proposed_full_stage2,4,-79721.78119143809,19.535417254557856,505.46999864839165,0.0,0.0,20
Proposed_full_stage2,5,-73764.15967512457,20.22577529954993,505.46999865648525,0.0,0.85,20
Proposed_full_stage2,6,-85071.24450635092,18.591644022851845,505.4699991856772,0.0,0.75,20
Proposed_full_stage2,7,-84095.1643250563,20.073923456364636,505.46999818082065,0.0,0.75,20
Proposed_full_stage2,8,-71643.66858198708,19.162752681640022,505.4699995607325,0.0,0.85,20
Proposed_full_stage2,9,-82511.53904004564,19.38270168990033,505.46999782311786,0.0,0.8,20
Proposed_full_stage2,10,-69880.59159738227,18.306327065418436,505.4699979580993,0.0,0.85,20
Proposed_full_stage2,11,-56577.35162088926,19.37728183234872,505.4699997022679,0.0,0.95,20
Proposed_full_stage2,12,-83383.63982679187,18.448470244495834,505.4699980624964,0.0,0.75,20
Proposed_full_stage2,13,-72933.25117603771,20.829132203831044,505.4699989982655,0.0,0.85,20
Proposed_full_stage2,14,-61674.95573517286,18.486160977299093,505.4699994982146,0.0,0.9,20
Proposed_full_stage2,15,-74268.40208352685,20.567249231404443,505.4699991874666,0.0,0.85,20
Proposed_full_stage2,16,-76196.39108698591,17.835024885485954,505.4699968017525,0.0,0.8,20
Proposed_full_stage2,17,-63073.92678335264,19.84774997497815,505.4699972940187,0.0,0.9,20
Proposed_full_stage2,18,-85973.41755992218,19.15824724654163,505.4699984917942,0.0,0.75,20
Proposed_full_stage2,19,-66821.34816181382,20.10868852791219,505.4699993849311,0.0,0.9,20
Proposed_full_stage2,20,-79587.69455813417,19.34148376598586,505.46999901091965,0.0,0.8,20
Proposed_full_stage2,21,-79950.48649882158,20.59156784693819,505.4699972306247,0.0,0.8,20
Proposed_full_stage2,22,-73855.630672164,19.385714823385932,505.4699986624345,0.0,0.85,20
Proposed_full_stage2,23,-88238.9623545162,19.88578178001581,505.4699974615507,0.0,0.75,20
Proposed_full_stage2,24,-87332.55717702958,19.82189832133138,505.4699988481772,0.0,0.75,20
Proposed_full_stage2,25,-79318.83642885923,20.09985491424673,505.46999917266675,0.0,0.8,20
Proposed_full_stage2,26,-74088.02216054713,18.22181508944046,505.46999917250497,0.0,0.8,20
Proposed_full_stage2,27,-81394.02126265736,18.52517117747993,505.46999941803006,0.0,0.75,20
Proposed_full_stage2,28,-72786.4393878789,21.23450198934241,505.46999887461226,0.0,0.85,20
Proposed_full_stage2,29,-85940.82855477057,20.60114307240459,505.46999771837284,0.0,0.75,20
Proposed_full_stage2,30,-52868.52582266108,21.37956292072687,505.4699990603672,0.0,1.0,20
Proposed_full_stage2,31,-80381.0295673434,19.474291927705075,505.46999768875287,0.0,0.8,20
Proposed_full_stage2,32,-49454.43635964535,19.672518181395066,505.46999984276107,0.0,1.0,20
Proposed_full_stage2,33,-56586.22185371377,18.798877049694593,505.4699975355841,0.0,0.9,20
Proposed_full_stage2,34,-47521.61059004798,18.70610530104324,505.4699993980754,0.0,1.0,20
Proposed_full_stage2,35,-78233.501143327,19.076140389726852,505.46999836924016,0.0,0.8,20
Proposed_full_stage2,36,-69442.16551339596,20.295984636987058,505.4699997613314,0.0,0.85,20
Proposed_full_stage2,37,-86189.55495586386,19.317151327087295,505.4699980227556,0.0,0.75,20
Proposed_full_stage2,38,-80780.28579956334,19.972315595855072,505.4699993232527,0.0,0.8,20
Proposed_full_stage2,39,-80351.65901159913,20.743932801085244,505.46999904880204,0.0,0.8,20
Proposed_full_stage2,40,-61443.64606272375,20.605118588546816,505.4699995901316,0.0,0.9,20
Proposed_full_stage2,41,-62440.72385694649,20.506028537110716,505.4699991024436,0.0,0.9,20
Proposed_full_stage2,42,-53813.84469860628,20.486206146859974,505.469999527716,0.0,0.0,20
Proposed_full_stage2,43,-70295.50117316707,19.851328406229477,505.46999937794953,0.0,0.85,20
Proposed_full_stage2,44,-85345.5170205315,19.383249609290907,505.46999914717765,0.0,0.75,20
Proposed_full_stage2,45,-70893.98694652716,20.245499664881514,505.4699979626429,0.0,0.85,20
Proposed_full_stage2,46,-68104.76379320206,19.20729325657002,505.4699986604114,0.0,0.85,20
Proposed_full_stage2,47,-87150.82105924618,19.704533039902763,505.46999803081343,0.0,0.75,20
Proposed_full_stage2,48,-74763.29271972331,19.417800965028004,505.4699988017154,0.0,0.8,20
Proposed_full_stage2,49,-68482.61884255291,18.67350797203467,505.4699971344015,0.0,0.85,20
Proposed_full_stage2,50,-64400.66946309518,20.057784387325718,505.46999838139317,0.0,0.9,20
Proposed_full_stage2,51,-76414.41020809283,21.065029528198718,505.46999902133814,0.0,0.85,20
Proposed_full_stage2,52,-53631.07528220724,18.980559393828166,505.469997460777,0.0,0.95,20
Proposed_full_stage2,53,-85334.52650288508,19.914611836278247,505.4699988682405,0.0,0.75,20
Proposed_full_stage2,54,-82697.40629833928,19.988855234080997,505.46999935075576,0.0,0.8,20
Proposed_full_stage2,55,-51462.622856749775,20.67661143850422,505.469998987067,0.0,1.0,20
Proposed_full_stage2,56,-82677.7314078732,18.83521656460283,505.46999687506343,0.0,0.75,20
Proposed_full_stage2,57,-86982.07856603128,20.329118977528452,505.46999931928167,0.0,0.75,20
