method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Greedy,0,-296239133.5006203,120586.08035980146,505.5963717467688,55045.82966139355,0.0,20
Greedy,1,-549425409.4388053,227188.9627877139,505.56660405901755,94999.06528511814,0.0,20
Greedy,2,-629245064.6608144,260538.8209761257,505.5713796916595,108141.70978750994,0.0,20
Greedy,3,-387354408.894102,164760.60392195388,505.603392133036,57803.414036625436,0.0,20
Greedy,4,-280017736.2792289,117859.1881866836,505.5736032275947,44258.64179701022,0.0,20
Greedy,5,-206962870.90254235,84591.70168566058,505.6553188951833,37746.035893301785,0.0,20
Greedy,6,-229606872.21523643,96282.39419707461,505.62229999668415,36994.08894640054,0.0,20
Greedy,7,-219200304.98864308,91838.2725570877,505.5590681596997,35479.730063754614,0.0,20
Greedy,8,-741977750.4128611,307784.9370587953,505.6280750367931,126374.44169493725,0.0,20
Greedy,9,-839109859.3868743,351240.16019281984,505.6037911622856,136585.70764017678,0.0,20
Greedy,10,-194643933.2022575,81670.9730278647,505.565991424018,31268.640348469537,0.0,20
Greedy,11,-1329435396.370697,561382.7701678438,505.55496907614327,206651.9756432407,0.0,20
Greedy,12,-883883121.0994912,379783.7719152543,505.62659476234467,124268.98232264293,0.0,20
Greedy,13,-127360573.76899745,51308.60414232477,505.6305030840569,24711.986019174765,0.0,20
Greedy,14,-345215074.29913217,144297.33512647412,505.57590995212087,56595.61903179488,0.0,20
Greedy,15,-311770248.73359615,128899.0884373314,505.6878298036213,53938.858540169764,0.0,20
Greedy,16,-260552072.74207428,103415.5412207117,505.5620265305771,53680.36449932619,0.0,20
Greedy,17,-198468967.6621171,80693.68753474901,505.59165216484814,37058.104849969175,0.0,20
Greedy,18,-100697207.02935898,43167.58269527812,505.5613872975429,14314.296770773177,0.0,20
Greedy,19,-445007007.92311233,186862.0054172434,505.6419519675719,71256.27570992123,0.0,20
Greedy,20,-295923210.99923414,124107.20991334105,505.6467443120135,47667.80767443358,0.0,20
Greedy,21,-255806331.94685727,105316.24722923043,505.6223073782915,45134.95124110043,0.0,20
Greedy,22,-157469201.17166084,67225.91382119828,505.59583446743227,22982.211952548005,0.0,20
Greedy,23,-85782419.88483037,35836.25137945524,505.59857182310924,14061.34355637219,0.0,20
Greedy,24,-446593496.34789705,186511.63730160816,505.6071678481495,73522.44727841415,0.0,20
Greedy,25,-299442190.8482026,122977.56111040786,505.5934208452019,53447.8056320934,0.0,20
Greedy,26,-668611355.0350449,271843.440127553,505.5650095349145,124886.74432167628,0.0,20
Greedy,27,-301849584.97332484,124249.61486399821,505.6425339211677,53305.89866147786,0.0,20
Greedy,28,-220017094.93005496,91801.57996311362,505.6209198059147,36383.51709557113,0.0,20
Greedy,29,-146163410.37896046,60268.617261733045,505.5553627462714,25581.337708654355,0.0,20
Greedy,30,-527709904.8560054,217564.02948092244,505.64017891682397,92571.68310295306,0.0,20
Greedy,31,-281376899.74777955,116510.72738749003,505.5914547738574,48313.937441915485,0.0,20
Greedy,32,-443345870.8929319,188402.74307527315,505.5802752382492,66530.22316197849,0.0,20
Greedy,33,-169890966.88048607,68156.06054797949,505.5855514314211,33559.75478540496,0.0,20
Greedy,34,-439217125.8051926,179518.86823324233,505.5694304698521,80169.22796889128,0.0,20
Greedy,35,-83179958.3340294,35035.466484508055,505.57833542863546,13068.83602655386,0.0,20
Greedy,36,-333441689.7676894,144141.59730749723,505.6448276380229,45129.57906750341,0.0,20
Greedy,37,-1024740623.7771866,438222.6658446204,505.5492022989003,148247.68251854045,0.0,20
Greedy,38,-402620985.0150814,166926.8914289791,505.5451167426997,68726.27364482192,0.0,20
Greedy,39,-59894437.455005884,25117.259292089682,505.6074697796404,9620.974946845205,0.0,20
Greedy,40,-1162423953.7940326,486686.5595488339,505.5656900672672,189030.52856309913,0.0,20
Greedy,41,-392271023.0218308,166826.48142131974,505.55540329166934,58596.57243789176,0.0,20
Greedy,42,-542953559.3599672,228207.45479884915,505.58738716084235,86525.70882792643,0.0,20
Greedy,43,-81363522.10096568,33773.54322007426,505.57057998566745,13785.74478457756,0.0,20
Greedy,44,-115783600.6343143,48027.70216751412,505.5951448051161,19681.52907526584,0.0,20
Greedy,45,-104898897.39719416,43904.862058972416,505.6025650295936,17058.686926458748,0.0,20
Greedy,46,-56346772.8736155,22840.24490341398,505.60965275980664,10636.497656618409,0.0,20
Greedy,47,-358218469.7735234,148518.11205535242,505.5709934767523,61134.43191921645,0.0,20
Greedy,48,-172446810.008843,73000.14749850471,505.55391163444085,26410.49809834452,0.0,20
Greedy,49,-193049389.60177672,79491.5241912719,505.56668729720576,34035.10842824106,0.0,20
Greedy,50,-236386035.39058268,96860.26436080728,505.5750266245389,42641.113880778415,0.0,20
Greedy,51,-187909497.01589328,79356.77451417284,505.63766714288795,29161.532587895344,0.0,20
Greedy,52,-222841757.58810526,91300.74946852846,505.57890618249286,40224.494090559296,0.0,20
Greedy,53,-132330390.5176265,53968.22033408519,505.56683931101406,24348.361662863994,0.0,20
Greedy,54,-236247879.9154606,99272.27558829676,505.63048195038226,37660.44959836229,0.0,20
Greedy,55,-172609932.15543854,70094.14571820691,505.5889922575524,32411.47899875255,0.0,20
Greedy,56,-413224986.91155493,178690.3438317096,505.5700678608202,55799.21204939226,0.0,20
Greedy,57,-247231459.02232456,101533.34529518682,505.6063806523971,44118.35366972895,0.0,20
Greedy,58,-366409936.4714547,151608.58177538036,505.5559681407085,63155.18366365482,0.0,20
Greedy,59,-471463576.7327015,189709.25634951063,505.61007015347786,91998.47562818992,0.0,20
Greedy,60,-105267273.98088656,43498.96295770696,505.61406514871953,18246.12040651997,0.0,20
Greedy,61,-205983276.51821196,83530.33341398921,505.56951458934816,38874.84052540596,0.0,20
Greedy,62,-90598561.83958033,37496.37143629113,505.61217422527204,15581.351350340934,0.0,20
Greedy,63,-147610800.75963667,61454.14299011116,505.5720171571553,24679.337726550617,0.0,20
Greedy,64,-496325144.0701726,209240.86188410438,505.57416181804166,77801.71718790216,0.0,20
Greedy,65,-119334479.64618188,50610.50118281276,505.5789231622417,18075.96698603323,0.0,20
Greedy,66,-142097234.2065643,59376.472705219814,505.58714260232335,23300.812845594217,0.0,20
Greedy,67,-163753209.55844662,68361.02367772587,505.55028168072056,26982.837891757976,0.0,20
Greedy,68,-166597558.37887877,68435.86883648435,505.57074019477767,29715.659344090895,0.0,20
Greedy,69,-121562428.27532253,51679.96362470498,505.5630338700239,18156.848648874504,0.0,20
Greedy,70,-278449082.50670457,114050.18764371492,505.5603021327267,50320.59934228794,0.0,20
Greedy,71,-469683974.33377147,193217.93134138695,505.5930186217067,83222.34511946917,0.0,20
Greedy,72,-163831869.97969648,65822.98389083397,505.6097877292881,32140.190111126158,0.0,20
Greedy,73,-66398636.05376576,28319.965805865686,505.55036817405596,9714.27630326779,0.0,20
Greedy,74,-535950868.27661765,226292.16877465005,505.5936773697149,83319.31725097443,0.0,20
Greedy,75,-415698445.7369598,173880.86213354676,505.61984125883527,67896.41518027037,0.0,20
Greedy,76,-294521930.9452321,121193.56699787751,505.5654998297945,52088.348642974146,0.0,20
Greedy,77,-1007971659.7075615,430011.1942461206,505.59381358102473,147906.01937586878,0.0,20
Greedy,78,-83860155.55397135,34169.29939275774,505.6066757528808,15494.916698262827,0.0,20
Greedy,79,-232186881.8449616,95977.68967556696,505.6338016939926,40188.3124443171,0.0,20
Greedy,80,-201285474.401262,83430.1206659505,505.5675223343129,34412.172836561804,0.0,20
Greedy,81,-228706915.08053368,94989.28630359512,505.58856942043786,38705.29429315141,0.0,20
Greedy,82,-1177520476.705178,501584.6382574723,505.56706469645513,174302.7935551748,0.0,20
Greedy,83,-44600763.51485338,18808.615767989082,505.5745525325594,6963.69125615396,0.0,20
Greedy,84,-1708790080.9510148,732746.5054868894,505.5802541019754,243273.02118629712,0.0,20
Greedy,85,-442652215.24345785,184997.818443963,505.5860116018698,72624.49028274661,0.0,20
Greedy,86,-104433049.99043036,44048.15253953713,505.56735006447224,16297.551710539003,0.0,20
Greedy,87,-375865352.9562499,158955.6606074166,505.56788509842653,57917.14802702654,0.0,20
Greedy,88,-156994230.42928725,64011.588405585404,505.6333733453169,28929.86608048518,0.0,20
Greedy,89,-75677447.82335816,31933.651737952383,505.6413439517375,11779.363427458988,0.0,20
Greedy,90,-423979750.02159154,177983.25510749687,505.6202900092891,67984.32125914843,0.0,20
Greedy,91,-109306593.17801097,45626.377417681695,505.5837136277436,18022.38633994062,0.0,20
Greedy,92,-415603225.4967106,170896.52599671567,505.5742646123679,73800.01203293915,0.0,20
Greedy,93,-185717480.15931445,76350.97551958199,505.61798722987044,32981.49383991982,0.0,20
Greedy,94,-135609596.91064757,56587.03291557368,505.58069040246164,22389.860767648508,0.0,20
Greedy,95,-63081511.941839755,26334.76456773671,505.6492256418467,10369.17588506586,0.0,20
Greedy,96,-466874402.1128294,198790.34070618157,505.62858970789665,69260.86383905905,0.0,20
Greedy,97,-137996588.20996478,57752.5760923586,505.5679865153391,22445.449976550644,0.0,20
Greedy,98,-207629779.5674167,86633.14237802774,505.61957747119715,34317.87919722496,0.0,20
Greedy,99,-216754670.0530085,92802.17585495075,505.5498429729011,31103.270575164126,0.0,20
