method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Greedy_Simple,0,-345472549.1257641,143666.4145475837,416.9849288834704,58131.33046134523,0.0,20
Greedy_Simple,1,-463666730.04345584,181180.2165334439,421.2033405404488,101287.04353693346,0.0,20
Greedy_Simple,2,-456168966.69009876,191996.91624457986,418.1284723866027,72166.72179503957,0.0,20
Greedy_Simple,3,-500697197.48694944,203316.3270984071,425.55277296277626,94055.98233153055,0.0,20
Greedy_Simple,4,-351949810.60014004,148069.71891476514,412.4848742603952,55801.04993934727,0.0,20
Greedy_Simple,5,-350890389.47612894,147396.23113918438,414.03980580744684,56089.59650462245,0.0,20
Greedy_Simple,6,-339835585.66642,140576.21667692903,420.54210032222034,58664.83655706772,0.0,20
Greedy_Simple,7,-534758508.3165822,225941.80368248763,415.7548379616395,82860.90824858496,0.0,20
Greedy_Simple,8,-643358588.7431971,275402.8847972475,417.67281474654817,92544.41576319512,0.0,20
Greedy_Simple,9,-786291866.9602624,318300.77972616267,428.0151399786707,149679.78139499057,0.0,20
Greedy_Simple,10,-558929048.8171995,227569.89292502962,421.43974122878916,103780.78426438676,0.0,20
Greedy_Simple,11,-794634023.8445572,331560.2560676305,414.46229096255746,131505.1725371061,0.0,20
Greedy_Simple,12,-941464487.7787879,400495.5586871306,420.4150825272106,140459.40085800685,0.0,20
Greedy_Simple,13,-311430083.1152624,128799.29834323966,413.6889371321531,53823.1628076744,0.0,20
Greedy_Simple,14,-356014071.89317214,149516.48531733023,415.3305498322135,56972.74479130126,0.0,20
Greedy_Simple,15,-490536147.74219996,205148.4564535292,411.35015708515414,80230.95792187286,0.0,20
Greedy_Simple,16,-537251210.9226156,217801.77743062438,411.88106628475344,101639.36853388725,0.0,20
Greedy_Simple,17,-536829894.33807343,225621.25518126637,418.19420116390785,85578.97019569435,0.0,20
Greedy_Simple,18,-423144387.2183141,178831.62866577756,420.38922957495504,65464.01349246067,0.0,20
Greedy_Simple,19,-572739242.1509445,234359.21305329973,421.25201278710966,104012.34109777288,0.0,20
Greedy_Simple,20,-292165606.26236665,121526.45410149431,416.1643925921213,49103.63508425865,0.0,20
Greedy_Simple,21,-614538004.1017475,253204.67938369195,412.6739897112211,108120.34192464183,0.0,20
Greedy_Simple,22,-286232242.8833636,117737.46061784492,415.55375239434744,50748.96071067125,0.0,20
Greedy_Simple,23,-362962440.53049743,146287.8352556055,420.72302349599306,70366.56337731067,0.0,20
Greedy_Simple,24,-486536656.13119817,200131.3618771901,416.20432067756735,86255.7018162785,0.0,20
Greedy_Simple,25,-458272956.5182,185302.98582462812,421.4824569939672,87657.17522477296,0.0,20
Greedy_Simple,26,-607213543.8468043,251862.01463832395,419.7418531475415,103481.06981530073,0.0,20
Greedy_Simple,27,-465032500.25923145,189027.59691314923,420.0943196181074,86961.91355383082,0.0,20
Greedy_Simple,28,-644378670.060104,279373.0817376347,415.77188903690893,85624.1412846236,0.0,20
Greedy_Simple,29,-347415150.22005534,144727.31336497935,417.2793397451931,57943.98864340838,0.0,20
Greedy_Simple,30,-556115031.2049345,224432.46586818792,417.8597735038966,107241.69239507578,0.0,20
Greedy_Simple,31,-443229597.79735726,183275.38883909787,407.5431830250785,76670.61932700576,0.0,20
Greedy_Simple,32,-670011123.258239,282755.4748423972,424.5729971593132,104491.63219249788,0.0,20
Greedy_Simple,33,-367689271.96120375,148015.10125524105,411.08500353659764,71650.7978622739,0.0,20
Greedy_Simple,34,-643902588.7044578,261938.44754755325,417.37762372218623,120017.29612421947,0.0,20
Greedy_Simple,35,-307998675.4175713,128545.16895257359,414.3381704159181,50900.00086740052,0.0,20
Greedy_Simple,36,-481957655.4263864,205776.98130360193,425.2164798124506,70395.13867211371,0.0,20
Greedy_Simple,37,-662025385.8621649,277900.1985778196,417.1649772733123,106204.9147845403,0.0,20
Greedy_Simple,38,-474314021.5229015,197916.70040774212,413.5725706627316,78471.20980136929,0.0,20
Greedy_Simple,39,-322067409.63303655,133632.18639938798,409.8652329684346,54794.78965515811,0.0,20
Greedy_Simple,40,-1509822039.7304204,644456.9523646452,407.2699928441725,220899.93964839075,0.0,20
Greedy_Simple,41,-521304935.07392246,219325.55506115762,418.3046132530226,82645.40895180221,0.0,20
Greedy_Simple,42,-301407515.2318533,125208.60585057261,420.8282004281723,50981.83709343166,0.0,20
Greedy_Simple,43,-296071012.474945,122499.77761201102,409.032646051299,51063.22674715911,0.0,20
Greedy_Simple,44,-378162761.8204956,156817.13314281777,408.5092913297629,64518.55890285949,0.0,20
Greedy_Simple,45,-453564522.9800736,187405.18741576828,418.3818960115911,78745.73063482631,0.0,20
Greedy_Simple,46,-353114147.4253447,147324.53471925698,415.41668617379645,58456.719769695985,0.0,20
Greedy_Simple,47,-1167390417.4235108,482832.5923058201,416.60471930427957,201705.45105302864,0.0,20
Greedy_Simple,48,-527368414.3084042,219743.3343551952,412.6374453093672,87873.44293839161,0.0,20
Greedy_Simple,49,-423686357.0669808,177505.29730126538,413.0689535396938,68667.45119493947,0.0,20
Greedy_Simple,50,-474589405.9678644,196588.19528299314,416.97929864495956,81404.62592388876,0.0,20
Greedy_Simple,51,-414385446.86803526,171813.71709888088,406.37214315592723,70749.83535510229,0.0,20
Greedy_Simple,52,-346131075.0368568,145138.7541835445,420.3774928678651,55845.10920512717,0.0,20
Greedy_Simple,53,-267744259.47064966,112409.99621363904,421.08328096357536,42908.06676039225,0.0,20
Greedy_Simple,54,-355313843.0869348,151103.23226852657,413.94499602798294,53095.86693728976,0.0,20
Greedy_Simple,55,-414660495.2151615,170372.36833342383,416.206981770206,73907.38450172571,0.0,20
Greedy_Simple,56,-666300336.1082965,277570.4021558049,413.654422846699,111144.92334239735,0.0,20
Greedy_Simple,57,-409304384.5642094,169750.06616123507,426.64272678004056,69787.03628585317,0.0,20
Greedy_Simple,58,-325824967.7022075,138933.22327043154,412.96326797428674,47950.212021736734,0.0,20
Greedy_Simple,59,-530433561.4673904,219323.73816186152,419.95712053368624,91772.88930720305,0.0,20
Greedy_Simple,60,-266717703.98068917,111411.8128547812,415.79974920671947,43885.71241592449,0.0,20
Greedy_Simple,61,-394033945.8809899,167423.9182937386,414.4545908997329,59173.75723842797,0.0,20
Greedy_Simple,62,-300137193.4423309,127597.85682285624,416.67364381911193,44933.096423099145,0.0,20
Greedy_Simple,63,-747726491.927009,304746.37938114454,422.6478005371143,138225.23027508837,0.0,20
Greedy_Simple,64,-589787815.8938518,246728.77023941494,419.65063278105544,96321.83250056875,0.0,20
Greedy_Simple,65,-351854011.57267797,148816.5333640454,422.03226925364936,54211.36376391868,0.0,20
Greedy_Simple,66,-413269487.0650135,169714.79382347278,417.83728941701537,73829.86760874347,0.0,20
Greedy_Simple,67,-388526382.5025488,164051.28884542995,419.47703337429346,60409.371883663596,0.0,20
Greedy_Simple,68,-404122276.29543084,170943.14851750285,416.80780964180985,62227.593198014096,0.0,20
Greedy_Simple,69,-501839556.2508944,207541.12198050736,420.63974571468236,86739.40035697733,0.0,20
Greedy_Simple,70,-423558864.392446,176579.80919897687,415.1727409576063,70390.89267194776,0.0,20
