method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,feasible_ratio,episode_steps
Proposed_full_stage2_v2,0,-458672839.4070899,187354.96047240178,505.65536690790077,83941.75533724179,0.0,20
Proposed_full_stage2_v2,1,-854188385.1949062,354808.00031039026,505.63895924368063,144523.9606471581,0.0,20
Proposed_full_stage2_v2,2,-952663918.6000292,395392.4055322801,505.6471785213433,161853.35830988403,0.0,20
Proposed_full_stage2_v2,3,-607585760.1651021,257920.2000866711,505.65650232725403,91715.5490566771,0.0,20
Proposed_full_stage2_v2,4,-433573002.72502035,182543.29110663425,505.65216510505707,68445.67673730545,0.0,20
Proposed_full_stage2_v2,5,-322868337.2069013,132782.66786954395,505.6800493680331,57269.60824421642,0.0,20
Proposed_full_stage2_v2,6,-355541749.57401603,149241.53426421894,505.6140401250971,57010.71454224929,0.0,20
Proposed_full_stage2_v2,7,-344587594.8823697,145116.39214369096,505.62724576723605,54310.75521488587,0.0,20
Proposed_full_stage2_v2,8,-1153594962.916649,479883.5858064035,505.62603439715275,193794.32440023657,0.0,20
Proposed_full_stage2_v2,9,-1281899125.4614885,537379.0454474038,505.64496289583974,207097.18988570088,0.0,20
Proposed_full_stage2_v2,10,-312773786.33268464,131793.65061434376,505.64152989143406,49153.115282870865,0.0,20
Proposed_full_stage2_v2,11,-1978283319.0134366,836595.3143219354,505.6140338668285,305074.8031246592,0.0,20
Proposed_full_stage2_v2,12,-1342574664.6656125,577510.0306293867,505.65096429838684,187507.93425793762,0.0,20
Proposed_full_stage2_v2,13,-200010596.36686525,81270.8130291738,505.6710176849898,37437.5471297436,0.0,20
Proposed_full_stage2_v2,14,-526572876.3595838,220735.4470129413,505.6540861132982,85077.17255177673,0.0,20
Proposed_full_stage2_v2,15,-479208064.6899056,199062.30635646023,505.6636322420485,81050.24241961342,0.0,20
Proposed_full_stage2_v2,16,-399546828.7923142,159380.04826257756,505.63451100612883,80746.06965995536,0.0,20
Proposed_full_stage2_v2,17,-314339721.9501758,128499.42991292996,505.63825823508785,57317.33070235243,0.0,20
Proposed_full_stage2_v2,18,-164835572.43112546,71193.44431826066,505.6337271864384,22400.90900111115,0.0,20
Proposed_full_stage2_v2,19,-688280552.607123,289943.4902199694,505.660961045786,108366.80200966165,0.0,20
Proposed_full_stage2_v2,20,-447701192.2865434,188428.6079253521,505.64905973773796,70802.98306534682,0.0,20
Proposed_full_stage2_v2,21,-396736748.35882616,164415.81352956576,505.66470886902516,67866.23734898561,0.0,20
Proposed_full_stage2_v2,22,-249178736.78649703,106892.58110165,505.64194685549654,35358.41541302182,0.0,20
Proposed_full_stage2_v2,23,-138938986.3854249,58465.581880908925,505.64925963963134,21959.239508373805,0.0,20
Proposed_full_stage2_v2,24,-709625061.550811,297575.66734172154,505.65217252883406,114425.95332086696,0.0,20
Proposed_full_stage2_v2,25,-466346484.49505496,191888.45380520527,505.6249461339377,82530.30961806908,0.0,20
Proposed_full_stage2_v2,26,-1015571190.4260712,414027.2116511555,505.6376666484374,187479.00790932085,0.0,20
Proposed_full_stage2_v2,27,-462141055.74295235,190851.62530881437,505.64185268767625,80393.32856329759,0.0,20
Proposed_full_stage2_v2,28,-347099997.6294073,145240.92132822552,505.6344749472216,56587.700159320455,0.0,20
Proposed_full_stage2_v2,29,-235179708.06610852,97756.60294543696,505.6284987560036,39621.62251545271,0.0,20
Proposed_full_stage2_v2,30,-815757523.9504426,337198.41902932123,505.66764784519154,141350.52255094616,0.0,20
Proposed_full_stage2_v2,31,-445028000.29393417,185183.33247795134,505.65041703566294,74619.81814293965,0.0,20
Proposed_full_stage2_v2,32,-696323928.65792,295995.2962136104,505.63439583177444,104323.1735668282,0.0,20
Proposed_full_stage2_v2,33,-262133588.12353927,105860.3405196927,505.6450705105535,50393.80401353573,0.0,20
Proposed_full_stage2_v2,34,-683713315.8014138,280693.2514382921,505.6475295631347,122316.64999221018,0.0,20
Proposed_full_stage2_v2,35,-135031545.10117614,57121.87497226805,505.62244539661714,20747.598693347456,0.0,20
Proposed_full_stage2_v2,36,-533902681.9249861,231829.60253170994,505.6539483228993,70214.5467061885,0.0,20
Proposed_full_stage2_v2,37,-1544713590.6326814,660938.3106067923,505.60277119022055,222789.35615266307,0.0,20
Proposed_full_stage2_v2,38,-621592436.7514927,258624.03157269856,505.6018763447688,104303.41280621717,0.0,20
Proposed_full_stage2_v2,39,-100211147.04627638,42308.60027733345,505.64173000806716,15554.97828688814,0.0,20
Proposed_full_stage2_v2,40,-1784824214.134151,748062.5853225909,505.6323339438078,288678.720473403,0.0,20
Proposed_full_stage2_v2,41,-624905599.4257026,266369.1723824721,505.61172860134883,92145.75861214356,0.0,20
Proposed_full_stage2_v2,42,-817901471.6414124,345027.1869146405,505.62677035995983,127834.19158219286,0.0,20
Proposed_full_stage2_v2,43,-128049389.46336107,53505.370286232486,505.6519213808973,21007.92100077828,0.0,20
Proposed_full_stage2_v2,44,-184218264.22046283,76854.73470739154,505.64233104300547,30462.103723643737,0.0,20
Proposed_full_stage2_v2,45,-170695438.05555713,71783.96246421475,505.6423191332359,27097.01586550512,0.0,20
Proposed_full_stage2_v2,46,-93657770.46393123,38558.822137491305,505.6719714770731,16510.30487692792,0.0,20
Proposed_full_stage2_v2,47,-564283067.5751708,234597.41324061473,505.6481419745877,95040.40899310817,0.0,20
Proposed_full_stage2_v2,48,-278026238.3772293,118219.31103370359,505.622375164439,41551.5679775391,0.0,20
Proposed_full_stage2_v2,49,-297460705.1044039,123319.12475940725,505.64440285534647,50791.18520566722,0.0,20
Proposed_full_stage2_v2,50,-373135800.4476065,153022.82587362133,505.65852889056333,67065.71006043158,0.0,20
Proposed_full_stage2_v2,51,-295224287.75410414,125017.02287473006,505.6676070609109,45155.78800197765,0.0,20
Proposed_full_stage2_v2,52,-338323866.7578731,139269.6282671088,505.62328383365804,59768.846897451695,0.0,20
Proposed_full_stage2_v2,53,-209342730.90284526,85845.99924611005,505.6447548746143,37605.1154592526,0.0,20
Proposed_full_stage2_v2,54,-380601305.06048745,160196.93109410888,505.629845303848,60164.56772428126,0.0,20
Proposed_full_stage2_v2,55,-268777081.60351473,109947.1122451572,505.63915845580743,48872.69438795816,0.0,20
Proposed_full_stage2_v2,56,-642161521.1056948,278461.2775361109,505.6257810165713,85193.85914989779,0.0,20
Proposed_full_stage2_v2,57,-391905479.54405755,161940.7340465646,505.63885351891247,67977.57112449023,0.0,20
Proposed_full_stage2_v2,58,-567355900.6984633,236053.58068374303,505.62134569489183,95211.12353992452,0.0,20
Proposed_full_stage2_v2,59,-721391392.2069728,291911.5432316774,505.6495176867793,137521.7091724779,0.0,20
Proposed_full_stage2_v2,60,-168498108.0635468,69974.70230472725,505.64319137112926,28525.495813294187,0.0,20
Proposed_full_stage2_v2,61,-314913128.55150735,128300.15193568767,505.64788205326033,58265.02209099786,0.0,20
Proposed_full_stage2_v2,62,-149681477.58767104,62383.30036398397,505.6565947618912,24890.38542676019,0.0,20
Proposed_full_stage2_v2,63,-244342200.00183848,102412.98066720339,505.65479360788424,39493.04063393389,0.0,20
Proposed_full_stage2_v2,64,-749915508.5155683,316851.099124625,505.64763052005264,116171.5602887227,0.0,20
Proposed_full_stage2_v2,65,-194951433.3560689,83259.86643169669,505.620084888778,28394.17146022637,0.0,20
Proposed_full_stage2_v2,66,-219735134.11253923,92239.45686183308,505.6241757937116,35212.75872299688,0.0,20
Proposed_full_stage2_v2,67,-257912166.4831226,108472.04500480062,505.61625366138304,40919.723926966755,0.0,20
Proposed_full_stage2_v2,68,-257858391.88212535,106200.59601531485,505.6247424602201,45447.03740787063,0.0,20
Proposed_full_stage2_v2,69,-198913346.33506447,85018.62329772559,505.6400170361773,28830.426846871684,0.0,20
Proposed_full_stage2_v2,70,-425125169.3084683,174893.0381541397,505.6263314959177,75310.96188847048,0.0,20
Proposed_full_stage2_v2,71,-731383961.579107,301751.7242093608,505.6148628453828,127854.73058899883,0.0,20
Proposed_full_stage2_v2,72,-261465129.47107172,105736.59228612759,505.637944243933,49946.20342828949,0.0,20
Proposed_full_stage2_v2,73,-108532824.18145001,46610.03939324674,505.61492915101735,15268.286223573663,0.0,20
Proposed_full_stage2_v2,74,-826062285.1632103,349171.39419709705,505.64352998171955,127672.28047647986,0.0,20
Proposed_full_stage2_v2,75,-635310880.6940781,265884.0864563007,505.61948929633866,103502.39847132201,0.0,20
Proposed_full_stage2_v2,76,-456460143.1290573,188273.80834308712,505.63658552462005,79866.0376803865,0.0,20
Proposed_full_stage2_v2,77,-1532591581.4219491,655009.7756873372,505.6316850141134,222528.74791026968,0.0,20
Proposed_full_stage2_v2,78,-134674205.15853783,55406.81581598903,505.63435490833706,23833.920117961337,0.0,20
Proposed_full_stage2_v2,79,-379977669.22578156,157762.989331851,505.6398246110508,64408.46834386551,0.0,20
Proposed_full_stage2_v2,80,-315698178.20553833,131170.38748372163,505.6457291244622,53344.32613709827,0.0,20
Proposed_full_stage2_v2,81,-351685919.340139,146704.58584757536,505.6203890943875,58253.690592854146,0.0,20
Proposed_full_stage2_v2,82,-1781649934.5872152,758133.340175538,505.63288164035976,265334.8074873834,0.0,20
Proposed_full_stage2_v2,83,-76944448.38930525,32755.38251751599,505.66473988644293,11413.810673893615,0.0,20
Proposed_full_stage2_v2,84,-2605947772.3602247,1118858.3499584817,505.6470525169169,368207.01169031544,0.0,20
Proposed_full_stage2_v2,85,-679508817.1433125,284527.8075751166,505.6079666555462,110421.09397528347,0.0,20
Proposed_full_stage2_v2,86,-166188650.48032987,70506.35605925004,505.6457941106548,25136.727184509473,0.0,20
Proposed_full_stage2_v2,87,-592625808.1924971,251629.85065725766,505.6420452735776,89329.18429884079,0.0,20
Proposed_full_stage2_v2,88,-247523230.7995671,101481.03492539079,505.63746991051386,44519.96188436651,0.0,20
Proposed_full_stage2_v2,89,-125753751.43165532,53529.355014213084,505.6661605591068,18664.240801683696,0.0,20
Proposed_full_stage2_v2,90,-651186755.4651424,274104.1508562533,505.64308029102733,102949.55746044018,0.0,20
Proposed_full_stage2_v2,91,-180223018.4984308,75737.02956329272,505.67982310754894,28717.468397444696,0.0,20
Proposed_full_stage2_v2,92,-635813394.0840911,261896.86808501818,505.6514402621292,112009.49489988541,0.0,20
Proposed_full_stage2_v2,93,-283405667.4260658,116892.57055099022,505.63915569135804,49586.46101056269,0.0,20
Proposed_full_stage2_v2,94,-215106117.08641213,90092.04883945841,505.6454822401499,34876.328339540734,0.0,20
Proposed_full_stage2_v2,95,-102789051.23611356,43297.21614472127,505.6601374676743,16151.801848766085,0.0,20
Proposed_full_stage2_v2,96,-706580504.8423969,301663.6294684747,505.62801113217967,103220.3843773028,0.0,20
Proposed_full_stage2_v2,97,-214766859.62824762,90353.6483829092,505.6449907419509,34013.53138627977,0.0,20
Proposed_full_stage2_v2,98,-320284764.2393513,134154.4003173606,505.6262054247421,51930.33486155114,0.0,20
Proposed_full_stage2_v2,99,-337797570.69589716,145284.9274633461,505.61316621045444,47180.657852503835,0.0,20
