method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Greedy,0,-428232.0061259808,200.28083334684348,506.47954167653853,6.339366531773419,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.45,20
Greedy,1,-420745.74746654555,184.64089581497555,506.312346362986,3.0419392793599895,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.4,20
Greedy,2,-377598.463175905,173.07183853935163,506.280572945769,5.460053552096288,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.5,20
Greedy,3,-460527.4563891588,213.1306903663961,506.5251272589493,3.799501400681965,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.35,20
Greedy,4,-420592.90785741905,187.26016128957414,506.36012285045365,5.224195250392758,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,20
Greedy,5,-447944.54647247004,204.19716625569632,506.58290760980924,5.716025731021164,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.45,20
Greedy,6,-332962.88625579095,141.77016665763682,506.2543301497997,1.14970362795756,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.65,20
Greedy,7,-402571.84464724764,177.52284951793445,506.30598218568014,3.269885197934515,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.4,20
Greedy,8,-353896.9668340668,158.76033208788078,506.2280129022429,2.751825336104288,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.55,20
Greedy,9,-384463.76182438235,168.3854584591566,506.3002157619111,3.8235601130380075,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.45,20
Greedy,10,-421904.36952780106,192.3425150980829,506.3804089073795,3.6859424653032122,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.4,20
Greedy,11,-277519.72313972766,128.0067673352623,506.0326721057866,3.6130620249409113,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.65,20
Greedy,12,-395196.22212170414,171.15237782423233,506.3099079305077,6.100450856530614,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.45,20
Greedy,13,-462398.03917940235,213.1500019029826,506.6370439894731,4.31864654365174,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.55,20
Greedy,14,-409769.25146939454,190.38867207975736,506.379323034391,3.9987303662097062,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.6,20
Greedy,15,-475766.6299381331,218.0960304118335,506.66662211907567,6.356673243658289,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.4,20
Greedy,16,-396423.08312370995,177.016125767571,506.3143079155848,1.4426244653512827,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.55,20
Greedy,17,-372006.57563592616,172.40998625886468,506.38977734957854,3.282732152741154,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.55,20
Greedy,18,-431424.2308540216,189.26008640505313,506.3800510018541,4.86951118157745,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.4,20
Greedy,19,-388711.2266662657,179.93202484989496,506.43858060572273,1.983804228509318,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.6,20
Greedy,20,-391160.00086548494,173.4876611526681,506.45930123635515,3.097431486117115,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.55,20
Greedy,21,-430476.5397338456,192.22042622534354,506.48048531425127,6.680768711548754,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.45,20
Greedy,22,-424509.7055688565,192.53240014313786,506.4620363558179,4.276353634078985,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.5,20
Greedy,23,-428074.878445584,187.8742607933023,506.47024242633444,3.313500534227674,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.55,20
Greedy,24,-445939.71819056384,195.48006045307613,506.46415219736036,7.188653464708253,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.35,20
Greedy,25,-373568.85048311774,164.8804505121624,506.33697883320576,3.8921081609662,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.5,20
Greedy,26,-397456.77865010686,178.05635219307695,506.28164720222077,3.37329330185674,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.5,20
Greedy,27,-442113.36900835123,196.91861468517467,506.47469855384907,3.52185049754263,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.4,20
Greedy,28,-436119.96785705496,199.61768263633826,506.54462305218686,6.098935881444581,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.4,20
Greedy,29,-395706.7368140974,174.57802752689093,506.3009555509546,1.336617648009683,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.45,20
Greedy,30,-397538.1055763834,190.37599298813706,506.4565759619457,6.65698808087042,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.45,20
Greedy,31,-433386.13697318855,194.19416583421074,506.4357558144341,3.446644454395036,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.5,20
Greedy,32,-385248.6363173269,185.95843230337576,506.36182358380836,3.2045352388992123,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.55,20
Greedy,33,-373627.3919893504,175.49247930187852,506.3731545601272,3.1715797128846157,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.65,20
Greedy,34,-405939.852362858,194.88096753741144,506.37220030230685,6.050473281988964,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.5,20
Greedy,35,-404840.4182699801,180.64710596254477,506.41022380746733,2.904625846300351,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.45,20
Greedy,36,-358336.18440353207,164.28060007342614,506.4038555541156,0.8472784745053275,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.75,20
Greedy,37,-285448.82318493427,117.23950113244575,505.9907755270331,3.3767231930267583,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.5,20
Greedy,38,-341805.3617534559,150.1780893727459,506.15185229994967,0.22967635841010914,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.7,20
Greedy,39,-417158.9015142416,185.98326179899686,506.4881304418239,6.033394343140278,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.3,20
Greedy,40,-310192.9781561944,144.49030492905277,506.11977906405883,0.7684730552796785,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.8,20
Greedy,41,-305366.7449020461,141.1143272035286,506.14032710244265,1.675427145614893,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.65,20
Greedy,42,-344284.47903302725,163.85316623990406,506.2896876723019,3.3768721695389443,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Greedy,43,-436281.98894568597,200.39123112819658,506.4501259509323,4.44748115759805,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.5,20
Greedy,44,-418035.00705911196,183.0252000685137,506.44503851615826,5.21929269595082,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.4,20
Greedy,45,-449120.81625455816,206.28829669972174,506.52712347024124,6.010256932118231,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.4,20
Greedy,46,-431649.54862865113,199.01811069916704,506.52889782734303,3.491285201802518,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.35,20
Greedy,47,-440599.0172881235,192.31967537620878,506.3752916363643,8.009171243161006,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.25,20
Greedy,48,-383166.6853718095,171.28366565809125,506.274979566503,4.298743869465975,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.65,20
Greedy,49,-414929.4473790528,187.8060639751857,506.3716783565216,7.739487521409141,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.35,20
Greedy,50,-407979.71347875986,188.9857105550237,506.38423499377706,5.2340865577525175,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.55,20
Greedy,51,-405767.76648591936,184.97320904357338,506.4946884918624,1.286244128746866,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.7,20
Greedy,52,-343832.59931686474,163.07165753260642,506.30257237525376,1.600251926987538,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Greedy,53,-424050.82505447057,187.5375830435499,506.3759069717856,3.1423382154204353,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.55,20
Greedy,54,-476231.91193144507,212.106915260579,506.62317943578216,8.281296534828945,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.25,20
Greedy,55,-378920.81862072396,182.40951773796124,506.4142113693956,3.9734989174134996,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.6,20
Greedy,56,-383343.4681553746,167.1054003441132,506.27011841113426,3.8849023141402257,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.45,20
Greedy,57,-449577.37443015026,200.2142602851165,506.5554319579489,2.6297391729994857,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.65,20
Greedy,58,-360906.71828714013,160.5377918603212,506.2210812865392,2.0092416623094578,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.5,20
Greedy,59,-467281.60762913397,206.38629566345656,506.50347747233434,7.908552464320701,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.4,20
Greedy,60,-398460.2069944377,186.87193262122076,506.49042568909806,1.110020184115966,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.75,20
Greedy,61,-430647.4199998828,189.33150611234578,506.3788931865535,3.9273772777645974,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.4,20
Greedy,62,-405214.964230504,189.4723914641944,506.4911975064567,1.7676973257896733,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.6,20
Greedy,63,-425111.90169067454,199.22775354291312,506.44513850119677,3.219002522876117,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.55,20
Greedy,64,-436265.2992835945,196.0100955556242,506.3694321344595,2.0607418927966235,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.55,20
Greedy,65,-362640.2801693803,162.2470570879005,506.3169756793785,0.602357728051615,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.65,20
Greedy,66,-381842.9894537718,168.2669847327552,506.3488999994005,1.5259712306260422,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.55,20
Greedy,67,-404978.4228943833,177.4845088167642,506.37192058570673,1.4163195576668286,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.55,20
Greedy,68,-347593.1541551072,167.84315762404844,506.31464055434515,1.7805460959234758,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.8,20
Greedy,69,-438133.3658356928,194.51782714551038,506.39583049374215,3.27922747446504,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.45,20
Greedy,70,-346274.71697487275,158.0885835112924,506.2229105916448,1.8020621369387377,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.7,20
Greedy,71,-304337.0657538299,138.90914196147043,506.1628813048907,0.6544583602332885,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.8,20
Greedy,72,-458138.3225675731,204.33339163333684,506.5196032664977,3.5004791211520954,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.45,20
Greedy,73,-373522.52153023216,163.94413678136144,506.264340313114,0.928864121928693,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.65,20
Greedy,74,-432676.1070460977,190.36456831603766,506.3822446168839,4.7386761771567265,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.3,20
Greedy,75,-354525.3374476182,156.92672066362098,506.342650733751,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.8,20
Greedy,76,-408720.29920275876,179.41013248577056,506.3173502338765,3.101963144715112,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.55,20
Greedy,77,-323116.5876913068,139.314919489,506.15066706664595,1.058592107773811,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.6,20
Greedy,78,-359533.17883240856,165.64176650112887,506.40736822982217,1.5375555434289934,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.6,20
Greedy,79,-358022.6792231926,156.6103212845257,506.3622105780302,1.362935051725887,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.6,20
Greedy,80,-378750.30235227814,181.22186647694176,506.3439432721737,3.1370986771695053,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.6,20
Greedy,81,-343144.17966857704,159.31395885260596,506.31507141275716,1.4557480882561067,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.7,20
Greedy,82,-313580.83726692735,131.93654877613466,506.089530659871,1.122265941631404,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.7,20
Greedy,83,-447710.24087701173,211.85353504898822,506.5069709611324,3.861306572043829,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.6,20
Greedy,84,-324001.4142599565,148.53186744868304,506.11472102986545,2.9039177286151117,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.7,20
Greedy,85,-274852.7378242729,121.3389940110718,506.1192831213002,0.09783923304074058,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Greedy,86,-433856.7941177693,194.89527595495016,506.4122466720299,4.728054014559577,0.0,0.0,0.0,0.0,1.7763568394002506e-16,0.0,0.0,0.0,0.4,20
Greedy,87,-434262.38203743706,195.84802632586195,506.3791558335649,5.294780726403981,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.5,20
