method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Proposed_full_stage2_fix,0,-132830.4142794669,56.03160587569206,504.90100032566716,0.0,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,1,-153706.30945463202,52.59978608922222,505.1204310084089,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.3,20
Proposed_full_stage2_fix,2,-137576.6557796987,56.09530608819654,504.3721091287904,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,3,-142891.2437089538,56.64519258767491,505.28598307776775,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,4,-153443.2184767011,56.14714411695479,504.88976373988936,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Proposed_full_stage2_fix,5,-160131.36766447706,63.565186350290524,504.8920227533407,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,6,-144348.69844716278,48.33009855351569,505.07841830232553,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,7,-136576.29180595916,46.4224712894012,504.80869891555255,0.0,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.45,20
Proposed_full_stage2_fix,8,-143736.16952720692,55.256275960258165,505.28441932044217,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,9,-159499.09752830645,58.00895329198006,504.55072972655506,0.0,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,10,-141147.84946657956,54.073252938958106,504.74149455601594,0.0,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,11,-123533.03737461055,52.78243463203372,505.16132218931114,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.2,20
Proposed_full_stage2_fix,12,-163695.42679339318,58.6799449430913,504.1166205463658,0.0,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.65,20
Proposed_full_stage2_fix,13,-160096.15768011648,64.43500055412122,505.2481500153679,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,14,-139127.24840720807,57.24899463061833,505.3001320982923,0.0,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,15,-144653.53958571845,55.86125228151368,504.930680058026,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,16,-142755.47883574633,51.18990350786736,504.5721336251519,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
