method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Random,0,-528504.3255334889,242.9057966796317,506.7686224339576,21.338870510206107,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.15,20
Random,1,-461218.1082156764,201.04882641650565,506.5383693901257,10.374682248396212,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,1.9559944937420913e-05,0.0,0.25,20
Random,2,-526492.2108976856,239.60180500257002,506.62253724779555,21.135313995575938,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.15,20
Random,3,-477849.2624108832,218.73884178307648,506.6587867579968,10.289526355485016,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.4,20
Random,4,-548289.2654797032,240.49545652542474,506.69732761327043,26.438593037080796,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,5,-525163.6643316037,239.1253663739812,506.8191600114575,13.013530456524979,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.25,20
Random,6,-428324.7068435077,185.50971375054866,506.5664536514133,8.931396301826386,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.35,20
Random,7,-474586.1129890487,208.5328475754846,506.6133885622056,13.233414579767096,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.2,20
Random,8,-526178.2178115193,238.75146959239387,506.691686547376,14.96095815397122,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.2,20
Random,9,-575062.4478182172,254.9524957901236,506.67828940910795,21.1442642271166,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.00018208073320830214,0.0,0.1,20
Random,10,-491878.7788221396,219.8659552414253,506.69653130858376,18.367808073656015,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.05,20
Random,11,-518373.40737424826,242.480935170504,506.5819887523104,15.509360152861365,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0015600053429274223,0.0,0.15,20
Random,12,-605633.7316497096,266.8142224419169,506.7875360945983,25.075623731731845,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.1,20
Random,13,-543539.28104696,247.06931161167176,506.85826677450285,17.58313829695772,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.15,20
Random,14,-509411.5347228575,234.18641039462076,506.8149529619292,16.058504102187268,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.25,20
Random,15,-546577.663008188,246.77042141676174,506.85187766719355,19.60181924013695,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.15,20
Random,16,-486366.1029714261,217.01928275515758,506.4792970540825,11.23057465739682,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.35,20
Random,17,-461769.44747783826,211.32347891599366,506.6508883244986,15.150204430319445,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.25,20
Random,18,-471824.29919251776,206.77643781831065,506.45749672931726,10.13518580035428,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.3,20
Random,19,-591216.2099365636,268.47180202585196,506.96989287550366,27.25317033576975,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.1,20
Random,20,-531998.8985901426,236.73644999300996,506.8316597763863,17.11283822403069,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.25,20
Random,21,-562184.3767612856,247.0796333781389,506.8513004678915,28.75964801688253,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.2,20
Random,22,-467389.9219959963,209.38431574126804,506.6818329559058,13.220058115872368,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.35,20
Random,23,-527520.3946523534,231.12748421822363,506.8187793580311,16.254089844682305,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.25,20
Random,24,-515291.3878768986,224.80598804758606,506.7357157296051,17.37284593611853,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0001774506658804756,0.0,0.2,20
Random,25,-472986.06924537127,209.62811090861038,506.65483974139335,13.999342186438929,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.4,20
Random,26,-539633.583603879,241.13037970199744,506.75520408236787,19.453574316004186,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0006423306260982132,0.0,0.25,20
Random,27,-514428.00797711813,226.5291981108716,506.7334130741122,16.65284870119989,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.15,20
Random,28,-419348.4771385673,190.11440689596213,506.5718559250302,8.280305131924667,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.4,20
Random,29,-451060.9755306416,197.3401277463384,506.5737897813236,11.096992874162005,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.3,20
Random,30,-565315.4582262755,268.77738550276183,506.845230024065,17.623782620270397,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.1,20
Random,31,-536879.3717852122,238.19278407318615,506.7795119345152,18.486580967623564,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.15,20
Random,32,-431144.1336199183,205.35857387663447,506.58058298070307,10.295374207035376,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.2,20
Random,33,-506050.7108519383,237.06476551128404,506.8003770910401,12.582965046320982,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.3,20
Random,34,-482375.11400225194,227.13863589057468,506.62348781279053,17.965130329688442,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.00024213515848441752,0.0,0.25,20
Random,35,-419836.98312841984,186.01737097365285,506.6389387109096,7.105944041785298,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.35,20
Random,36,-496644.5722216544,228.04331081817003,506.7352931577915,11.571501052070818,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.3,20
Random,37,-525993.1739244026,231.7450731633955,506.52076130256967,14.40216360376984,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.00043860559287077006,0.0,0.2,20
Random,38,-412096.9692139766,183.66148710577073,506.50198969250124,3.6159934091484915,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.55,20
Random,39,-467288.1046602546,205.60213173518332,506.72669759689745,16.761376736283584,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.25,20
Random,40,-561537.5614719191,260.57685929177364,506.6584229573392,19.5921928687488,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0005134849675535114,0.0,0.15,20
Random,41,-447269.4122726766,208.3668706478023,506.5780741230392,9.012922562659673,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.3,20
Random,42,-500110.76863629185,234.1402775639819,506.59696999906134,18.480216813589685,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,20
Random,43,-474416.96016576927,215.83061522403722,506.6996433657314,11.617025931937656,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.3,20
Random,44,-487278.05632156384,211.39120043040924,506.75610768180934,17.191580331545516,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.2,20
Random,45,-452358.26574616175,204.00708088526412,506.63344831724334,13.58067321806755,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.2,20
Random,46,-541359.9919210735,245.3332113482391,506.8617081666545,20.482992717408514,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.1,20
Random,47,-565743.7918083936,246.40964653519163,506.7576106350704,24.66629790219448,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.25,20
Random,48,-435234.514359051,194.0010465403006,506.62626456041687,10.664530908400339,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.35,20
Random,49,-481687.2256922916,215.91070053571076,506.4875724863215,18.26589543289362,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.15,20
