method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Greedy,0,-1686041.9994735736,357.5933271231436,507.1655540943053,21.178865537993182,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0002667751997475178,0.0,0.0,40
Greedy,1,-1814671.230089451,388.3864755161611,507.2437705853478,24.018698815192312,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Greedy,2,-1672998.273418036,352.80125353720933,506.90752538336574,21.40787449853049,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.000629209537555288,0.0,0.025,40
Greedy,3,-1701335.2470396112,360.43403527085314,507.3347228404879,18.72843029835139,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Greedy,4,-1870530.0886271116,398.60967645503587,507.2338662230494,24.83157547315497,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,40
Greedy,5,-2050559.603944209,448.15146935211044,507.47560837243316,27.904755384053953,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,40
Greedy,6,-1690935.4406259349,354.9871936279698,507.1843253535524,21.89819226977653,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.0,40
Greedy,7,-1862391.7326510176,402.0588391950585,507.3225762801796,25.72932828530785,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,40
Greedy,8,-1727361.7857782086,363.6994215210831,507.3412086379373,25.662119301524104,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,40
Greedy,9,-1597542.9876859153,336.2568233366451,506.985832080594,21.606799385490454,0.0,0.0,0.0,0.0,1.4654943925052066e-15,0.0,8.966169330493195e-05,0.0,0.0,40
Greedy,10,-1946204.7365083792,418.941292520383,507.7721789409373,24.67020017367223,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Greedy,11,-1570263.1559157108,324.2435384661646,506.98024351309897,24.042960851873346,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,2.339911983969267e-05,0.0,0.0,40
Greedy,12,-1527768.6729976016,317.3196969629444,506.6805148858515,15.666359082040719,0.0,0.0,0.0,0.0,1.4654943925052066e-15,0.0,0.0015312260216558638,0.0,0.0,40
Greedy,13,-1657131.9501929248,354.0201735350213,507.12122165909176,22.308279629223694,0.0,0.0,0.0,0.0,1.9984014443252818e-15,0.0,0.0,0.0,0.0,40
Greedy,14,-1482939.9617620772,307.1187028093858,506.8484528515406,16.785735455697267,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,40
Greedy,15,-1617931.4702881777,338.5578916905298,507.1768832878107,19.482127680828377,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,40
Greedy,16,-1782189.2037629345,385.3000084395773,507.2701738115329,20.205696459901485,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,40
Greedy,17,-1917111.0562561043,415.32633155225324,507.56673991557193,27.307877715469886,0.0,0.0,0.0,0.0,2.3980817331903383e-15,0.0,0.0,0.0,0.0,40
Greedy,18,-1704923.818168642,361.50190257281673,507.12180139226103,19.931209197572308,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.025,40
Greedy,19,-1733874.2656620808,365.00216485948147,507.1931964992379,24.50958253088445,0.0,0.0,0.0,0.0,1.9984014443252818e-15,0.0,0.0,0.0,0.0,40
Greedy,20,-1478807.5941401036,310.9699429745532,507.1204808017921,14.728429809031066,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Greedy,21,-1641209.4736342668,344.3977064378407,507.0547658136913,19.969165376325748,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0,0.0,0.025,40
Greedy,22,-1688490.9750843055,358.3302444676659,507.1377535898012,20.576423321991598,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Greedy,23,-1908107.4229490338,410.5999634758961,507.44132450632526,24.572590119713702,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Greedy,24,-1803820.6609431214,382.83844192849,507.44689714023787,22.53878767551479,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Greedy,25,-1423970.4105222,299.43761513948294,507.01135028059326,13.828533835904887,0.0,0.0,0.0,0.0,2.531308496145357e-15,0.0,0.0,0.0,0.0,40
Greedy,26,-1791726.6096115878,384.44120083924247,507.2861900917907,24.985483330682076,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,27,-2072410.8864078997,449.0691025220478,507.6017494451776,28.056531407528052,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.0,40
Greedy,28,-1770328.0817796076,382.622747554019,507.3343609422953,21.73197848498156,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,40
Greedy,29,-1997685.5692264605,430.60100076311863,507.7498866265122,26.26500978120605,0.0,0.0,0.0,0.0,7.549516567451064e-16,0.0,0.0,0.0,0.0,40
Greedy,30,-1866761.6408892847,399.8469401777226,507.20940251007596,25.093774611589986,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Greedy,31,-1882030.804348176,402.3738387770144,507.32056439258656,21.99069274141206,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Greedy,32,-1661862.2633560558,350.35988153635856,506.98387205910706,18.142626137272188,0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,40
Greedy,33,-2017977.887734647,437.50003195085964,507.5345236887589,27.682136274567846,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,40
Greedy,34,-1571122.476675821,333.71146575557793,507.037016177483,17.750200638815887,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Greedy,35,-1886066.7534533525,408.88354903351706,507.6422028934024,23.40286038052161,0.0,0.0,0.0,0.0,2.3536728122053318e-15,0.0,0.0,0.0,0.0,40
Greedy,36,-1923014.815588329,413.49292154749116,507.51539705120905,27.488314013757776,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,37,-1585754.4319554302,331.86846134146543,506.79241024662696,21.166155148270796,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0005256931830001722,0.0,0.0,40
Greedy,38,-1997224.9543915447,429.69312257834054,507.5082915541134,28.486192514549742,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Greedy,39,-1845696.1957933516,394.00343115823864,507.5683203813095,22.02659552145787,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Greedy,40,-1367785.5457626432,281.2123380587595,506.6482641339426,16.47193374507696,0.0,0.0,0.0,0.0,1.021405182655144e-15,0.0,0.0005065876567033457,0.0,0.0,40
Greedy,41,-1848103.7910290263,394.4203193887962,507.345949403133,27.69975513079812,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Greedy,42,-1743703.7059626312,367.64395408324066,507.08557046522276,22.205239484993353,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Greedy,43,-1709322.1115429988,366.23177712791306,507.1931890195562,22.312790620927967,0.0,0.0,0.0,0.0,2.4868995751603505e-15,0.0,0.0,0.0,0.0,40
Greedy,44,-1853751.9524503555,399.8475810236509,507.3528395847362,23.936112645465336,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,40
Greedy,45,-1878047.7639092477,400.1321169596423,507.44950047608484,24.24602361098491,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,46,-2078682.1698617707,449.570031438767,507.80684371317705,26.04472700204662,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Greedy,47,-1708489.2404299376,363.13715568096836,507.20984792152296,18.48181120215888,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Greedy,48,-2088201.66759743,451.20770145245143,507.66629540974975,30.58135876922227,0.0,0.0,0.0,0.0,1.1990408665951691e-15,0.0,0.0,0.0,0.0,40
Greedy,49,-1635449.8745183516,342.69017687632635,507.0492096898949,21.88383618910597,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Greedy,50,-1431634.8405805118,302.2123737386898,506.9554918340033,18.11280685460602,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,40
Greedy,51,-1653511.6773159297,354.041581790587,507.1990023990596,17.73113416134023,0.0,0.0,0.0,0.0,1.8207657603852566e-15,0.0,0.0,0.0,0.0,40
Greedy,52,-1707671.6179482453,360.3205103084994,507.1310275999018,20.45224628516831,0.0,0.0,0.0,0.0,7.549516567451064e-16,0.0,0.0,0.0,0.0,40
Greedy,53,-1898784.1150302747,408.2506670797924,507.402224311424,26.65760920491227,0.0,0.0,0.0,0.0,1.2878587085651815e-15,0.0,0.0,0.0,0.0,40
Greedy,54,-1901484.7539294194,409.51323417683267,507.3419719841554,23.145731298229624,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Greedy,55,-1725164.181845444,367.4222140201455,507.1643629314846,20.975232261683765,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Greedy,56,-1739432.6412338896,372.40570433484004,507.26250891001007,24.100542750708094,0.0,0.0,0.0,0.0,2.264854970235319e-15,0.0,0.0,0.0,0.0,40
Greedy,57,-1924584.0691688387,411.1201670939282,507.41550911925344,28.100912084549442,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0,0.0,0.0,40
Greedy,58,-1851435.0723962835,393.2117192486065,507.36096068926884,24.72224469772073,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.0,40
Greedy,59,-1770090.3134847195,375.800438539207,507.18080212753773,23.707751365857842,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,40
Greedy,60,-1966958.7779471676,426.86436091730695,507.60556371059903,23.711936670027434,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.0,40
Greedy,61,-1814981.9870673448,390.96604206627376,507.2999861971827,24.126504565483774,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,40
Greedy,62,-1911213.7347572846,411.3990538512935,507.40856317190793,25.91561413787785,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Greedy,63,-1925514.0118349807,419.3663130842492,507.41590764757314,25.77840144350342,0.0,0.0,0.0,0.0,4.884981308350689e-16,0.0,0.0,0.0,0.0,40
Greedy,64,-1990080.6154574163,431.2984598457923,507.4432250738877,31.916403582903882,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Greedy,65,-1764951.0128209442,375.16651316351687,507.43528724627794,22.964165780637448,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,66,-1707674.8657736082,370.85553700342246,507.2769389314441,18.940794583045196,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Greedy,67,-1991164.771511039,427.2672922972557,507.54208051794257,27.085608727816957,0.0,0.0,0.0,0.0,1.1990408665951691e-15,0.0,0.0,0.0,0.0,40
Greedy,68,-1698007.894119612,358.1953858461582,507.09993743611767,20.74046265874606,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.0,40
Greedy,69,-2011463.2094269788,434.5694921036621,507.5263266273126,24.292916287459008,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,40
Greedy,70,-1943526.3377728576,420.3484050325622,507.5729067952495,28.237630603911004,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,71,-1511521.6491720472,319.3774437259851,507.00875907041683,19.149941904965004,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.05,40
Greedy,72,-1569290.007864969,330.85698956652993,507.00309917193556,16.14307857444023,0.0,0.0,0.0,0.0,2.264854970235319e-15,0.0,0.0,0.0,0.0,40
Greedy,73,-2185536.070754993,479.1725484544607,507.9604990819536,30.434263359186964,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Greedy,74,-2071775.6319026658,448.74910986261267,507.48592994903277,28.478745033663284,0.0,0.0,0.0,0.0,1.021405182655144e-15,0.0,0.0,0.0,0.0,40
Greedy,75,-1470409.712496406,306.3488398844231,506.8907053606639,14.68408546922424,0.0,0.0,0.0,0.0,1.2878587085651815e-15,0.0,0.000461014688019048,0.0,0.0,40
Greedy,76,-1820985.9767431687,390.3124591682971,507.207897555171,23.373963781525656,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Greedy,77,-1633367.197004149,340.8545518206676,506.9439347142914,22.572967026275364,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0004855259607646904,0.0,0.0,40
Greedy,78,-1782976.5520384104,381.69627833609144,507.2578264417801,20.10447474878752,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,40
Greedy,79,-1724363.1680083824,372.37692504020055,507.2656282367905,21.687288708880708,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Greedy,80,-1790058.6572479599,379.0700067743091,507.28105500861056,23.675371351730274,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Greedy,81,-1515545.6848551717,315.7114839897123,506.9670845607616,16.951183104265677,0.0,0.0,0.0,0.0,1.4654943925052066e-15,0.0,0.0,0.0,0.0,40
Greedy,82,-1240388.1684660842,249.175523830194,506.6771957623606,9.532931998888824,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.000452595862540435,0.0,0.025,40
Greedy,83,-1908898.9496960116,412.0944681667359,507.4381467612262,23.462768271923487,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Greedy,84,-1444108.1473780123,299.43868392893944,506.6393591812659,16.912200028768822,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.00022878993727007153,0.0,0.0,40
Greedy,85,-1645139.8641574888,345.92718908250856,507.06446938279834,19.114674794775734,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.025,40
Greedy,86,-1829496.135216,393.00366134260037,507.48159761454406,20.97924644775639,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Greedy,87,-1826263.0466433545,387.71132325963106,507.22177240950367,25.608353244016342,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,40
Greedy,88,-2050413.6136881455,443.51445602672374,507.7973671521936,26.64572879332642,0.0,0.0,0.0,0.0,3.9968028886505636e-16,0.0,0.0,0.0,0.0,40
Greedy,89,-1841042.2067266458,392.4434016500059,507.4254157815103,22.173185434921074,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,40
Greedy,90,-1756073.2504008783,373.9618047131338,507.2645498004622,24.059209073240506,0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,40
Greedy,91,-1575251.0488778919,329.6779030496805,507.3636851543267,14.03702209769562,0.0,0.0,0.0,0.0,1.021405182655144e-15,0.0,0.0,0.0,0.0,40
Greedy,92,-1571707.2651902472,336.1334846408174,507.002326987842,19.025317866635373,0.0,0.0,0.0,0.0,2.220446049250313e-15,0.0,0.0,0.0,0.025,40
Greedy,93,-1917476.3227678912,411.39335274828534,507.5949567486047,26.207494605574936,0.0,0.0,0.0,0.0,2.842170943040401e-15,0.0,0.0,0.0,0.0,40
Greedy,94,-1798983.7124983063,382.757258822165,507.27506290578106,19.691177393899757,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Greedy,95,-2052904.189203394,442.79361415334176,507.69540556482696,26.963615028818776,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Greedy,96,-1509796.6265621097,317.9668957116892,506.8912656920587,19.478152787534675,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Greedy,97,-1914124.469411124,416.2770592380316,507.4283356241191,24.32374010628849,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,40
Greedy,98,-1445034.7288233598,304.10325406879747,507.09257593786845,14.799325302231185,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Greedy,99,-1865290.4225296006,402.0718778323683,507.2336772801773,26.098159712080985,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
