method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Random,0,-2466283.126609759,538.1177099762696,507.9395944023425,50.27141845745821,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,40
Random,1,-2656984.1953907255,582.7767513819093,508.0611086821077,56.21437644944092,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Random,2,-2999216.275932658,660.041715783922,507.97707549302675,69.58530980767671,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Random,3,-2417406.1497371076,523.2431502410619,508.33091275381486,50.88627168794582,0.0,0.0,0.0,0.0,5.773159728050814e-16,0.0,0.0,0.0,0.0,40
Random,4,-2577068.0709462482,559.3070575004623,507.93615649823244,56.32554979168326,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,40
Random,5,-2841268.141782985,627.9575242365931,508.3877381977376,63.31012545100797,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.0,40
Random,6,-2461993.8105122913,533.6572201865339,508.21209348390346,49.69826057107948,0.0,0.0,0.0,0.0,2.3980817331903383e-15,0.0,0.0,0.0,0.0,40
Random,7,-2537313.026441608,554.9091835384495,508.20235470903344,57.0248114498944,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Random,8,-2602247.846572106,567.4749480953344,508.2459657201769,55.149995060942544,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Random,9,-2680857.7548222872,589.1609559641297,507.88950988400177,56.958600962883544,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,40
Random,10,-2413740.9138359604,525.1095307783706,508.2727885292945,45.82658058148614,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Random,11,-3063791.672435059,671.9996247728508,508.1654296612839,74.59854453459006,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Random,12,-3516922.99097887,779.2830506855119,508.07470906806157,86.00923729351506,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.00041823509672672037,0.0,0.0,40
Random,13,-2189298.762181445,474.2571555583734,507.83989318873694,47.49983304502912,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Random,14,-2272263.760766879,491.1684580606743,507.87492186934804,42.91558885795381,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.0,40
Random,15,-2436761.11737647,527.412754711082,508.3275054185403,50.61734705880008,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Random,16,-2341945.0122224507,513.2357851733543,507.833056605364,43.97132101229587,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Random,17,-2688688.670098308,592.4189331682674,508.37768164840475,58.35847568171605,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Random,18,-2121603.106098116,455.5697640640309,507.55058848337364,39.93619050131778,0.0,0.0,0.0,0.0,1.1990408665951691e-15,0.0,0.0,0.0,0.0,40
Random,19,-2788647.579233522,611.4056623312456,508.60433334753543,58.90319505760726,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Random,20,-2399109.6402713945,523.4927578109708,508.3076226669201,49.45304619091975,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Random,21,-2460296.7471405114,530.420848638173,508.06134270105684,56.973252582769774,0.0,0.0,0.0,0.0,1.8207657603852566e-15,0.0,0.0,0.0,0.0,40
Random,22,-2270299.971353322,491.59873568373234,507.9082334988358,44.69403216844978,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Random,23,-2443394.3837690037,531.061148381868,508.30461449656786,50.973477089911505,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,40
Random,24,-2736195.237989928,595.9876682311753,508.5038975278632,62.210232989608144,0.0,0.0,0.0,0.0,1.3766765505351941e-15,0.0,0.0,0.0,0.0,40
Random,25,-2037804.4783069596,442.15745674265446,507.8374457685929,35.28859744230154,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,40
Random,26,-2683238.056865461,592.4037463414844,508.48198543454464,54.54211319031735,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.0,40
Random,27,-2789403.1617995948,611.5216679013934,508.4883610800795,61.07131194220533,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,40
Random,28,-2482713.038534158,545.4659739974425,508.4582399802499,51.78953107538886,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,40
Random,29,-2481802.504645135,538.4492225529027,508.2559557415278,52.28199969675353,0.0,0.0,0.0,0.0,7.549516567451064e-16,0.0,0.0,0.0,0.0,40
Random,30,-2961546.3544301502,653.5092081204266,508.1243004956831,65.04357699553768,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,40
Random,31,-2582260.282269618,562.8057937813835,508.2648589808535,50.801933908893524,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Random,32,-2574614.737350646,558.3427030545323,507.9692675961337,58.2937292487852,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Random,33,-2843598.4194762763,628.0718504084396,508.5229198814126,59.35416059971188,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,40
Random,34,-2221461.527966666,484.0838414726838,507.8139196042769,41.984272865444964,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Random,35,-2350999.8723804443,513.9190303144003,508.3475599045884,45.67698106612906,0.0,0.0,0.0,0.0,2.176037128265307e-15,0.0,0.0,0.0,0.0,40
Random,36,-2616277.481737691,570.5421137161334,508.33448270567004,60.2397507508673,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Random,37,-3565128.308548599,795.2169169679262,508.14324071541535,83.63002401577737,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.00022016141857986762,0.0,0.0,40
Random,38,-2692544.960512923,586.6399384943618,508.25502437267977,62.17922575307731,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Random,39,-2424844.843545134,525.2321966769412,508.32011696588586,48.98594438786556,0.0,0.0,0.0,0.0,1.1990408665951691e-15,0.0,0.0,0.0,0.0,40
Random,40,-3099119.892047476,682.2514143540452,507.9281248199307,79.51985945684949,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0002617678139268416,0.0,0.0,40
Random,41,-2900053.05000786,638.5320421908036,508.5733534877924,64.73989676937924,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.0,40
Random,42,-2997330.0643142997,659.8245505053161,508.19918057818387,64.08178709223645,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Random,43,-2222113.9006064646,482.0182228757752,508.1441437754387,46.66255905954203,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Random,44,-2461297.6640670393,538.0225533517017,508.4560199370675,50.58588600989241,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Random,45,-2253456.127917082,482.6563684096004,507.89899565488867,46.85908605600503,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.0,40
Random,46,-2359010.8236830384,507.80440868357863,508.15873744434174,49.730099764815314,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,40
Random,47,-2432864.6752907196,529.9039652239879,508.0643692543372,46.84522711243636,0.0,0.0,0.0,0.0,2.4868995751603505e-15,0.0,0.0,0.0,0.0,40
Random,48,-2721573.463634286,594.2373370785674,508.6338196440415,60.510865054279996,0.0,0.0,0.0,0.0,1.2878587085651815e-15,0.0,0.0,0.0,0.0,40
Random,49,-2291594.2861075695,494.2598500533451,507.631623893938,46.515891973621144,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,40
Random,50,-2559097.2671495858,563.1736777113108,508.1821206150138,59.10074954428209,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,40
Random,51,-2419260.501714086,530.9920593656965,508.26807009469246,46.525107461833606,0.0,0.0,0.0,0.0,1.8207657603852566e-15,0.0,0.0,0.0,0.0,40
Random,52,-2370197.3378197183,513.2670754227966,507.9471900485558,45.457913828383134,0.0,0.0,0.0,0.0,1.7319479184152442e-15,0.0,0.0,0.0,0.0,40
Random,53,-2511937.777013235,547.8269488742968,508.3809008117946,53.7552262261759,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,40
Random,54,-2507795.427997977,547.8265940812505,508.2113114633785,49.22920855125687,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,40
Random,55,-2234693.0484062275,483.77588074204857,507.8755726772548,42.728711280872105,0.0,0.0,0.0,0.0,1.2878587085651815e-15,0.0,0.0,0.0,0.0,40
Random,56,-2624325.919411208,576.2793290570303,508.1624351184033,58.3292817223706,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.0,40
Random,57,-2651679.4575720094,577.905091219638,508.4716742161203,57.737971160400534,0.0,0.0,0.0,0.0,1.5543122344752192e-15,0.0,0.0,0.0,0.0,40
Random,58,-2713630.3351927777,593.3704668509464,508.3607121927545,55.258939574156116,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,40
Random,59,-2648467.348375072,579.3615995571961,508.22927530096484,55.34118741599277,0.0,0.0,0.0,0.0,1.6431300764452318e-15,0.0,0.0,0.0,0.0,40
Random,60,-2616026.5958289593,573.1353779331907,508.3708690868011,55.761796395396765,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Random,61,-2550707.06466489,559.8857921925853,508.01015836194813,53.88077083068909,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,40
Random,62,-2455028.6642414653,535.1662645535072,508.3406432384062,49.877670088176316,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,40
Random,63,-2428396.6776701123,531.3402330739102,508.2167528970293,53.02663884235278,0.0,0.0,0.0,0.0,7.549516567451064e-16,0.0,0.0,0.0,0.0,40
Random,64,-2969904.551152703,658.7329000299553,508.32703139176283,66.53773860570843,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Random,65,-2041807.3617173135,435.6572779581432,507.98599414476837,40.027238399313724,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.0,40
Random,66,-2424522.3313055113,533.3611383164819,508.0520852361125,52.02800954991602,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,40
Random,67,-2466463.8528730585,535.2740076512721,508.04061145391927,48.557426819623146,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,40
Random,68,-2458474.8802995333,533.3513647522354,508.1166154986248,50.32386800338347,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,40
Random,69,-2533349.250840957,552.3973894803063,508.0799872426016,49.32900373232697,0.0,0.0,0.0,0.0,2.220446049250313e-15,0.0,0.0,0.0,0.0,40
Random,70,-2853291.1606343226,632.947472932262,508.60268179426174,57.57029393815797,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.0,40
Random,71,-2735642.284365443,605.2006480894478,508.34688562798755,59.039852374998496,0.0,0.0,0.0,0.0,6.661338147750939e-16,0.0,0.0,0.0,0.0,40
Random,72,-2040587.657633834,438.44836165573895,507.7529849554259,36.35317377600195,0.0,0.0,0.0,0.0,2.0872192862952944e-15,0.0,0.0,0.0,0.0,40
Random,73,-2826261.778050979,625.4493328200311,508.74502544451707,58.3327697170962,0.0,0.0,0.0,0.0,1.1990408665951691e-15,0.0,0.0,0.0,0.0,40
Random,74,-3030024.5241292487,667.9718899775964,508.60898201771323,69.12317708645628,0.0,0.0,0.0,0.0,1.1102230246251565e-15,0.0,0.0,0.0,0.0,40
Random,75,-2372196.241782587,512.9635476307842,507.8525628564712,52.11824790314337,0.0,0.0,0.0,0.0,1.9984014443252818e-15,0.0,0.0,0.0,0.0,40
Random,76,-2496256.38095286,545.757615454567,508.1127332634122,49.68247210755089,0.0,0.0,0.0,0.0,9.325873406851315e-16,0.0,0.0,0.0,0.0,40
Random,77,-3241079.9427895197,716.5228721416304,508.3089221362431,74.61816288097474,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,40
Random,78,-2328316.528828256,505.16437438574394,508.2046584486817,45.375522645485105,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,40
Random,79,-2401205.011855936,526.4156998668652,508.17849464633764,51.59685369768905,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.0,40
Random,80,-2353269.480071292,507.4267946262151,508.0569030564977,48.028137873484255,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.0,40
Random,81,-2094008.7557211977,449.726525411852,507.7327842230969,37.84302233642384,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,40
