method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Greedy,0,-505368.14292462694,459.0024632975612,506.6332619891135,13.657467307366534,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0005335503994950356,0.0,0.05,20
Greedy,1,-541594.0984198032,492.19963681415413,506.6462223586976,17.010498692415418,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.1,20
Greedy,2,-474685.36245783523,422.64828153302733,506.3668613302965,13.023073725583737,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0006074728986694942,0.0,0.15,20
Greedy,3,-495212.8938147484,443.05405283479206,506.69422153854504,10.464293671995772,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.15,20
Greedy,4,-552020.1591327047,490.57434476067203,506.5775824667934,15.896694577447438,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,20
Greedy,5,-606973.8632416596,561.6536331537789,506.7512644027397,24.119460515489827,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.05,20
Greedy,6,-491473.07055830647,430.6641638411096,506.5529946882267,13.928981831620291,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.2,20
Greedy,7,-525613.4988537502,488.4426187910129,506.6208890460878,14.961589676366676,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.1,20
Greedy,8,-502842.0568116175,441.7189496888876,506.7340628790556,20.734962591287093,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.05,20
Greedy,9,-443249.67894369,402.2489262456985,506.43161714855097,11.954440008547405,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0001793233866098639,0.0,0.15,20
Greedy,10,-584926.3966283979,524.4000402349851,507.0170083604119,20.41636815272558,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
Greedy,11,-447893.7624179753,383.4990019585897,506.4350104507492,19.305526863730154,0.0,0.0,0.0,0.0,1.7763568394002506e-16,0.0,4.679823967938534e-05,0.0,0.15,20
Greedy,12,-430590.17523207556,377.3688288609595,506.249254285313,5.976434407734264,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0030459132878563376,0.0,0.35,20
Greedy,13,-477029.39363643626,443.1341140473213,506.5200710217091,17.82131689549221,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.05,20
Greedy,14,-429769.14293996623,381.2748943892841,506.34379768001554,7.4479647111402425,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.2,20
Greedy,15,-467890.7652850273,413.05868401114975,506.60234912934254,10.334222429374877,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.15,20
Greedy,16,-515292.8107965866,483.1638848338669,506.61384643077633,11.772065449713875,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.05,20
Greedy,17,-554896.90415135,514.3121509713891,506.8623729896286,19.960385717912025,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.15,20
Greedy,18,-490387.87423021364,442.377533587343,506.49458151214884,8.972564500804243,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.2,20
Greedy,19,-510453.44071564724,448.482554655269,506.56713631135597,17.815085787062667,0.0,0.0,0.0,0.0,2.3980817331903383e-15,0.0,0.0,0.0,0.05,20
