method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Proposed_full_stage2_fix,0,-139677.63253376173,106.9481127601158,505.66341409710657,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,1,-138603.91697576724,105.85529711759477,505.71775901777966,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,2,-150902.72647882946,111.6637568192996,505.51368476919004,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,3,-161852.93654852617,120.25051933711131,505.81038044865073,0.0,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,4,-154706.9629830814,108.65413900935384,505.643150511154,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,20
Proposed_full_stage2_fix,5,-153326.16453029192,131.5334774567034,505.7301122714581,0.0,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,6,-154657.51898286954,107.65264520002177,505.72431939939617,0.0,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,7,-129287.47364396947,106.78795023969114,505.6829117325275,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.9,20
Proposed_full_stage2_fix,8,-157188.26893906182,116.46212286610346,505.7987691331629,0.0,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,9,-131680.9218969428,102.64637116406728,505.64084850647276,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.85,20
Proposed_full_stage2_fix,10,-144105.1894599952,103.36681940710238,505.64916586914126,0.0,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,11,-159277.95441410472,113.74221707406912,505.7363219906424,0.0,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.65,20
