method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Random,0,-605506.2456816724,539.2408467390171,506.8444906653179,34.717778265997566,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.00040913980618145394,0.0,0.1,20
Random,1,-716930.0465505589,639.3103385204274,507.040630792906,46.89132032136044,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.1,20
Random,2,-669737.4910694282,585.6665578051144,506.77498666326665,46.562234005444,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0006850618533229179,0.0,0.05,20
Random,3,-616463.3672466176,538.3763578376636,507.1860774442757,37.81722674297996,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,20
Random,4,-650171.7234609338,555.8467997455838,506.81585293679683,50.39985599302839,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0003305144690104161,0.0,0.0,20
Random,5,-698560.2808711044,625.40152299415,507.0242875115258,53.383644451943596,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,20
Random,6,-674091.4927980187,583.7288499148456,507.1710559744718,45.07077433914397,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.05,20
Random,7,-608605.2358794719,546.723337783342,506.91812189215796,40.78371399349216,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.0,20
Random,8,-620654.0502645719,543.0586551606732,506.9463413607451,38.18354788057735,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.0,20
Random,9,-585634.7722623742,520.6630358936529,506.63627920424085,37.09897983306791,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0003164930467653617,0.0,0.05,20
Random,10,-584382.4741634572,510.6198718499152,506.9237971326039,34.23509402161679,0.0,0.0,0.0,0.0,2.4868995751603505e-15,0.0,0.0,0.0,0.05,20
Random,11,-728544.8879848218,623.5848733349316,506.99742445908777,61.75698655965952,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.003430602864002372,0.0,0.0,20
Random,12,-819257.6579794041,712.1004204299779,507.0259069789574,62.40239538826118,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.005862188872985479,0.0,0.0,20
Random,13,-504462.19223655673,454.7363549299159,506.7085409611289,34.23152586904858,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
Random,14,-541813.4095717074,474.57200453657913,506.7731500124778,26.89018653190691,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.05,20
Random,15,-623049.5142082884,542.186197654036,507.28292171439716,37.37093346608002,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.05,20
Random,16,-603468.4451804494,548.5006436864367,506.75360200603455,35.80742454916047,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0006669985011329551,0.0,0.05,20
