method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Greedy_Simple,0,-254665.39430048203,123.08892546717111,416.858141808706,0.15038052996565626,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,1,-230955.1680861312,105.91091808296162,421.045817860384,0.0,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,2,-231130.07422678336,111.36797187843858,418.0536637275328,0.033057195355499044,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.9,20
Greedy_Simple,3,-252589.18497664333,121.4853792789803,425.4968705374657,1.1084890079334324,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.95,20
Greedy_Simple,4,-227055.55898233218,108.54278487085239,412.40652029821666,0.6986086850468893,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.8,20
Greedy_Simple,5,-266281.948077704,128.30534972342673,413.92499052033907,1.3927488204437286,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.75,20
Greedy_Simple,6,-190823.84153282485,86.28081558483548,420.35598323678107,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,7,-235572.60403293945,110.7589058209001,415.5999767553291,0.11508605960361358,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.9,20
Greedy_Simple,8,-219212.85858611067,105.24942843871045,417.5645238289808,0.36271123211017764,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.95,20
Greedy_Simple,9,-245676.20297786721,117.36242179857186,427.87601005819454,0.5834015200568683,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.85,20
Greedy_Simple,10,-219133.14401734984,105.14618565587577,421.28855172893617,0.4150016710195267,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.95,20
Greedy_Simple,11,-212205.05514204866,101.9384526898463,414.3730226115905,0.040689310124256826,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,12,-256217.59853630402,120.72326584940151,420.2647624153054,0.9452452775467796,0.0,0.0,0.0,0.0,1.1546319456101628e-15,0.0,0.0,0.0,0.7,20
Greedy_Simple,13,-253135.5307589807,122.21470053797161,413.459377335358,0.436942136330374,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,14,-247427.5707602466,119.48273504686787,415.2535909283858,0.15702884794305164,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.95,20
Greedy_Simple,15,-263976.8671380981,127.50798075794826,411.2252641780575,0.7364003386404063,0.0,0.0,0.0,0.0,1.7763568394002506e-16,0.0,0.0,0.0,0.85,20
Greedy_Simple,16,-202963.29924073207,97.36464338372241,411.70062366436315,0.0,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,1.0,20
Greedy_Simple,17,-213249.0168242216,102.30875519967108,418.0886327574279,0.2697337697308999,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.95,20
Greedy_Simple,18,-228372.80840840566,105.12485709009911,420.326405675242,1.0578078377927125,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.85,20
Greedy_Simple,19,-254914.0444059957,123.21363197112464,421.02341435536636,0.06631217663911641,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.95,20
Greedy_Simple,20,-236635.26949243672,113.58107765328857,415.98832445685275,0.5792110362847774,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,21,-253404.24918472138,122.08535708150139,412.46207959743026,0.9842934297699711,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,22,-231151.46713104323,111.23451234548831,415.4852445069807,0.37273754992699876,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.9,20
Greedy_Simple,23,-247656.39768389243,113.81022925366467,420.5617161788813,0.0,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.9,20
