method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Greedy,0,-442607.6595567691,200.58452967284674,506.47954167653853,20.107627310555365,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.05,20
Greedy,1,-434939.0950755088,184.92078385982194,506.312346362986,16.675510798630597,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.0,20
Greedy,2,-389142.35876815877,173.2206984090226,506.27786190345194,16.706283625854603,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
Greedy,3,-485127.37043513765,216.14721159986283,506.53544746056895,22.355846374075355,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,20
Greedy,4,-441957.4295064885,189.81097149835497,506.3694715090304,21.48690950872905,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,20
Greedy,5,-456106.7803628705,202.3202020827757,506.57314604222574,17.640399031043867,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.1,20
Greedy,6,-337594.34064181155,140.83901140790127,506.2468557812116,7.6461532961201595,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.2,20
Greedy,7,-411371.07287324936,176.44567958275536,506.3002736428357,14.22356746515138,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
Greedy,8,-368944.3373968226,161.00470417981612,506.23267739807136,13.305693929244304,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.15,20
Greedy,9,-397319.51344365254,168.73690470718506,506.29977039210223,15.976428143647349,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.15,20
Greedy,10,-435471.9048416355,192.3425150980829,506.3804089073795,17.253477779137608,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.05,20
Greedy,11,-287488.1112241396,127.91031164992944,506.02802030681175,13.774454515998055,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.2,20
Greedy,12,-408917.0067193499,171.49521525147733,506.3099079305077,19.13556059968636,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.1,20
Greedy,13,-478203.6224754101,213.2645573336519,506.6370439894731,19.89511897832088,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.05,20
