method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Proposed_full_stage2_fix,0,-161379.78619523498,69.35879796621762,504.7863965669878,1.9136964862447772,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.55,20
Proposed_full_stage2_fix,1,-180441.38506112064,65.48596864045275,505.0667250718555,0.947756024198841,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.25,20
Proposed_full_stage2_fix,2,-170377.31220069318,70.8870340692841,504.13702107807,3.2394708175651177,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.5,20
Proposed_full_stage2_fix,3,-173471.6201478152,71.03880696058121,505.2673409176682,1.7956580148506227,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.65,20
Proposed_full_stage2_fix,4,-187208.94484026133,71.01883104128336,504.7975008894344,4.154471076244933,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Proposed_full_stage2_fix,5,-194473.61014359837,78.82996768058084,504.77313872688217,3.8913020615792524,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.5,20
Proposed_full_stage2_fix,6,-169889.20277411662,59.93704293003178,505.00405803744104,2.365849808483085,0.0,0.0,0.0,0.0,2.1316282072803005e-15,0.0,0.0,0.0,0.5,20
Proposed_full_stage2_fix,7,-159135.29732475127,57.32078428910764,504.6949433584153,0.7961085587776819,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.35,20
Proposed_full_stage2_fix,8,-172043.27215337375,68.21508938771731,505.2650376461838,2.4049321990176407,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.45,20
Proposed_full_stage2_fix,9,-190428.35154607892,72.43238096632854,504.35601781847373,2.1381337761501795,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.6,20
Proposed_full_stage2_fix,10,-162908.53584443306,64.58628586054894,504.58360111477486,0.7926435693765633,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,11,-154247.61997653006,67.03827474158342,505.1238894713965,2.1921296989437247,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.15,20
Proposed_full_stage2_fix,12,-194756.1537628635,72.53221157748465,503.87712400116806,3.3655356241879546,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.35,20
Proposed_full_stage2_fix,13,-189893.67882932685,78.48469279672034,505.2147704678632,1.7031792543210489,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.6,20
Proposed_full_stage2_fix,14,-162013.8493955243,68.19386825984088,505.26446199125286,1.0072634911988672,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.7,20
Proposed_full_stage2_fix,15,-168927.51332527268,67.74559709474622,504.8192361626542,0.5474152193876047,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.7,20
Proposed_full_stage2_fix,16,-162310.27347224834,60.97571630746425,504.38426509930576,0.015021383767701213,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.75,20
Proposed_full_stage2_fix,17,-153080.7426712516,64.31756530720774,504.23132366965166,1.2587673732494455,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.6,20
Proposed_full_stage2_fix,18,-178044.33341446257,63.387723642490144,504.93069354365997,3.543834048131667,0.0,0.0,0.0,0.0,9.769962616701378e-16,0.0,0.0,0.0,0.3,20
Proposed_full_stage2_fix,19,-172197.40105846286,72.42685283923252,505.16332995453615,0.8210830215760853,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.8,20
Proposed_full_stage2_fix,20,-179449.201083089,68.68287124187106,505.02188969131646,1.394898503690651,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.6,20
Proposed_full_stage2_fix,21,-193919.3839718121,75.69157373112157,504.34056026885327,4.134495781816076,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.45,20
Proposed_full_stage2_fix,22,-156654.30942845443,60.05970580321359,504.8972135060584,1.6292530042684548,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.65,20
Proposed_full_stage2_fix,23,-181900.60255233035,66.29056156352894,504.5954376473345,0.8736610251116508,0.0,0.0,0.0,0.0,1.865174681370263e-15,0.0,0.0,0.0,0.5,20
Proposed_full_stage2_fix,24,-191155.83898220898,69.81551799436468,504.9636166306274,3.9410251390206206,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.35,20
