method,episode,episode_reward,avg_delay,avg_energy,avg_deadline_violation,avg_ratio_violation,avg_assoc_violation,avg_schedule_violation,avg_candidate_violation,avg_bw_violation,avg_cpu_violation,avg_rate_violation,avg_nan_count,feasible_ratio,episode_steps
Random,0,-554846.0199700138,245.17978822513373,506.7686224339576,43.132581855726734,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.0,20
Random,1,-485931.445318189,204.24707918970952,506.5383693901257,28.691513804501028,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,1.9559944937420913e-05,0.0,0.0,20
Random,2,-551565.1736265094,242.71064214913594,506.62253724779555,39.99060243126767,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,20
Random,3,-504849.6343520109,221.97755891743736,506.6587867579968,30.81246402789107,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
Random,4,-575071.1656412801,243.80493749315423,506.69732761327043,46.60153126319881,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,5,-553259.2685484064,242.44879884088468,506.8191600114575,34.462269739520856,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Random,6,-449706.4322171251,188.08479869761265,506.5664536514133,25.162951781315734,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.1,20
Random,7,-499293.3709287883,211.13815033134705,506.6133885622056,32.73006700778181,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.05,20
Random,8,-553551.5091073092,241.71023926842037,506.691686547376,36.416710097708055,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,20
Random,9,-604141.5691871453,257.8192215265715,506.67828940910795,44.489934123148984,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.00018208073320830214,0.0,0.0,20
Random,10,-516094.02377016563,222.6224742552467,506.69653130858376,37.07001499403928,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.0,20
Random,11,-546524.8350859093,245.22930038851996,506.5819887523104,38.16405742849038,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0015600053429274223,0.0,0.0,20
Random,12,-633456.0853731616,269.22470782344953,506.7875360945983,48.07700669211839,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,20
Random,13,-573298.7402383736,249.8004905345969,506.85826677450285,41.8802396425212,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,14,-536205.5163318482,236.9461490020588,506.8149529619292,37.333008496301844,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Random,15,-577464.7581424899,250.25086498481073,506.85187766719355,43.52802723834107,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.0,20
Random,16,-512207.1081315442,219.53954295841942,506.4792970540825,32.03105941099147,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,17,-488509.0809190923,214.3777130269338,506.6508883244986,35.78136964969299,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.05,20
Random,18,-499854.2829496321,209.98616676416168,506.45749672931726,31.74571166576673,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,20
Random,19,-621227.0437267148,270.9737788384886,506.96989287550366,52.26005050064765,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.0,20
Random,20,-560446.929279104,239.34191180932936,506.8316597763863,40.34994528035328,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Random,21,-592488.0644694963,251.32542437300617,506.8513004678915,50.57175373535848,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.0,20
Random,22,-493147.50463319384,212.4617028095265,506.6818329559058,32.82286661655284,0.0,0.0,0.0,0.0,1.5987211554602255e-15,0.0,0.0,0.0,0.05,20
Random,23,-557872.0556963227,235.3971294002767,506.8187793580311,38.066460524545526,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,20
Random,24,-540553.5805113033,227.9435931666119,506.7357157296051,36.35982833247164,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0001774506658804756,0.0,0.0,20
Random,25,-497516.40406869526,213.65806365587673,506.65483974139335,30.469771515230224,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.05,20
Random,26,-563572.5798374852,242.95173141965697,506.75520408236787,39.74986711429143,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0006423306260982132,0.0,0.0,20
Random,27,-537993.2927689754,229.04934915229464,506.7334130741122,35.177831410211034,0.0,0.0,0.0,0.0,2.042810365310288e-15,0.0,0.0,0.0,0.0,20
Random,28,-445272.1360063219,194.46374414379616,506.5718559250302,25.50528950401128,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.05,20
Random,29,-474557.0315077862,200.86462052490862,506.5737897813236,27.54406329416629,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.05,20
Random,30,-595666.2982972113,271.52966327501997,506.845230024065,42.47006714668995,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.0,0.0,0.0,20
Random,31,-563543.8549198111,240.3494639687511,506.7795119345152,40.83770431109282,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,20
Random,32,-456103.72305107873,209.07383503627813,506.58058298070307,27.824441318908335,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,33,-537029.2245719625,239.66022139888793,506.8003770910401,38.3705669911375,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.0,20
Random,34,-508468.3370049135,230.0813998302906,506.62348781279053,38.172825452918,0.0,0.0,0.0,0.0,5.329070518200751e-16,0.0,0.00024213515848441752,0.0,0.0,20
Random,35,-445068.6100890584,188.7766936899539,506.6389387109096,26.8189255698218,0.0,0.0,0.0,0.0,1.7763568394002505e-15,0.0,0.0,0.0,0.05,20
Random,36,-523458.44601335295,230.52457127336174,506.7352931577915,33.42285393338584,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,20
Random,37,-553718.2843710041,235.24262464524023,506.52076130256967,35.132171086682156,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.00043860559287077006,0.0,0.05,20
Random,38,-433756.38519930333,187.01196288627494,506.50198969250124,18.574457833466916,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,20
Random,39,-492399.0585195593,208.83083389302905,506.72669759689745,35.414926279896676,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.1,20
Random,40,-591455.6437168524,263.4805130753362,506.6584229573392,43.70296754655722,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0005134849675535114,0.0,0.0,20
Random,41,-474967.3318259685,211.66377343398477,506.5780741230392,30.117036543586558,0.0,0.0,0.0,0.0,7.993605777301127e-16,0.0,0.0,0.0,0.0,20
Random,42,-531021.5192667603,237.6296175659917,506.59696999906134,42.41228744003846,0.0,0.0,0.0,0.0,2.3092638912203257e-15,0.0,0.0,0.0,0.0,20
Random,43,-503562.875602683,220.18445582512814,506.6996433657314,32.055260166669505,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,20
Random,44,-512458.1997558532,214.98493062992117,506.75610768180934,35.184263366811095,0.0,0.0,0.0,0.0,1.4210854715202005e-15,0.0,0.0,0.0,0.0,20
Random,45,-476424.86769881874,207.43070227971833,506.63344831724334,30.80003238181599,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,20
Random,46,-570515.3637920346,247.4023576440133,506.8617081666545,45.500071996821205,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,20
Random,47,-593066.8799522776,249.218092314053,506.7576106350704,46.37249448835583,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,20
Random,48,-460800.7926796662,197.31372657122265,506.62626456041687,29.605449167171628,0.0,0.0,0.0,0.0,8.881784197001252e-16,0.0,0.0,0.0,0.0,20
Random,49,-507836.4377809184,219.44007410478017,506.4875724863215,37.35636038338136,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,20
Random,50,-531099.2026493012,234.51865259510473,506.81659462125947,37.28006579114903,0.0,0.0,0.0,0.0,1.9539925233402757e-15,0.0,0.0,0.0,0.0,20
Random,51,-534992.6915443377,233.57929332861733,506.8169723151831,32.98735771334935,0.0,0.0,0.0,0.0,6.217248937900876e-16,0.0,0.0,0.0,0.0,20
Random,52,-430995.9164716326,193.16361679392597,506.4849029170217,28.661666547628727,0.0,0.0,0.0,0.0,1.5099033134902129e-15,0.0,0.0,0.0,0.0,20
Random,53,-525562.1240007144,222.78222204635068,506.76925042987807,34.02997309499468,0.0,0.0,0.0,0.0,1.6875389974302379e-15,0.0,0.0,0.0,0.0,20
Random,54,-488001.0090403549,205.47903793527811,506.62738620421726,33.74512340981219,0.0,0.0,0.0,0.0,4.440892098500626e-16,0.0,0.0,0.0,0.0,20
Random,55,-462969.7445047783,211.15754873346677,506.6323484956564,30.522000067931618,0.0,0.0,0.0,0.0,1.3322676295501878e-15,0.0,0.0,0.0,0.05,20
Random,56,-537473.2034132816,227.87062114448585,506.62957347890335,36.35938431479918,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,20
Random,57,-566662.7127986207,240.9206924195104,506.82215823317284,38.210058243059486,0.0,0.0,0.0,0.0,1.0658141036401502e-15,0.0,0.0,0.0,0.0,20
Random,58,-510691.76274639124,219.35227687266357,506.60753882835945,34.09227947030764,0.0,0.0,0.0,0.0,7.105427357601002e-16,0.0,0.0,0.0,0.0,20
Random,59,-572565.9606947054,240.98879775321475,506.7576393744719,43.66525068266524,0.0,0.0,0.0,0.0,2.6645352591003756e-16,0.0,0.00010907213193698737,0.0,0.0,20
Random,60,-474688.87461921794,212.12965394601346,506.69416481292166,26.84252253326226,0.0,0.0,0.0,0.0,3.552713678800501e-16,0.0,0.0,0.0,0.05,20
Random,61,-543965.8107557826,230.16455224634996,506.5358252831188,35.50881825116144,0.0,0.0,0.0,0.0,1.2434497875801752e-15,0.0,0.0,0.0,0.05,20
